t,plant,axis,mstruct,Total_Transpiration
0,1,MS,0.246159116,NA
4,1,MS,0.246159116,0.00018419305144141702
8,1,MS,0.24631481000000002,6.395284540022701e-05
12,1,MS,0.246608449,0.00032626248573438003
16,1,MS,0.24698087700000002,0.0027266208306770856
20,1,MS,0.247420122,0.0029089120021218
24,1,MS,0.24793780299999998,0.000163741993890622
28,1,MS,0.248517001,0.00011340901502302701
32,1,MS,0.24913858600000002,0.00012797452625887702
36,1,MS,0.249795794,0.002923105860104553
40,1,MS,0.25049763199999997,0.004705364033477771
44,1,MS,0.25126979,0.0038851982406106324
48,1,MS,0.252100226,0.000378112631328415
