t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,15,1,700000,NA,NA
4,1,MS,15,1,699526.20433212386,699526.20433212386,0.007379999999999999
8,1,MS,15,1,698932.89843909396,698932.89843909396,0.007379999999999999
12,1,MS,15,1,698237.53945489787,698237.53945489787,0.007379999999999999
16,1,MS,15,1,697817.81413915928,697817.81413915928,0.007379999999999999
20,1,MS,15,1,696992.7602290248,696992.7602290248,0.007379999999999999
24,1,MS,15,1,696097.88346698659,696097.88346698659,0.007379999999999999
28,1,MS,15,1,695142.44029612618,695142.44029612618,0.007379999999999999
32,1,MS,15,1,694135.5569558657,694135.5569558657,0.007379999999999999
36,1,MS,15,1,693085.22340582137,693085.22340582137,0.007379999999999999
40,1,MS,15,1,691996.86276137014,691996.86276137014,0.007379999999999999
44,1,MS,15,1,690873.82030749263,690873.82030749263,0.007379999999999999
48,1,MS,15,1,689719.72487676505,689719.72487676505,0.007379999999999999
