t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,20.0,1,700000,NA,NA
4,1,MS,20.0,1,699538.42638617707,699538.42638617707,0.0073799999999999994
8,1,MS,20.0,1,698989.94840481679,698989.94840481679,0.0073799999999999994
12,1,MS,20.0,1,698380.52862021187,698380.52862021187,0.0073799999999999994
16,1,MS,20.0,1,697727.92536382366,697727.92536382366,0.0073799999999999994
20,1,MS,20.0,1,697045.62187407888,697045.62187407888,0.0073799999999999994
24,1,MS,20.0,1,696339.61568616494,696339.61568616494,0.0073799999999999994
28,1,MS,20.0,1,695617.02525356272,695617.02525356272,0.0073799999999999994
32,1,MS,20.0,1,694883.22244316584,694883.22244316584,0.0073799999999999994
36,1,MS,20.0,1,694143.10862706474,694143.10862706474,0.0073799999999999994
40,1,MS,20.0,1,693398.69012917823,693398.69012917823,0.0073799999999999994
44,1,MS,20.0,1,692649.25373484928,692649.25373484928,0.0073799999999999994
48,1,MS,20.0,1,691895.36726901354,691895.36726901354,0.0073799999999999994
