t,plant,axis,metamer,Nstruct,mstruct,amino_acids,fructan,proteins,sucrose,D_Fructan,D_Proteins,S_Fructan,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose
0,1,MS,4,4.64e-06,0.000144,0.016848,0.0,0.479,0.1728,NA,NA,NA,NA,NA,NA
0,1,MS,5,1e-07,3.11e-06,0.000364,0.0,0.002,0.003732,NA,NA,NA,NA,NA,NA
0,1,MS,6,2.06e-08,6.4e-07,7.5e-05,0.0,0.0,0.000768,NA,NA,NA,NA,NA,NA
4,1,MS,4,4.64e-06,0.000144,0.04941056187706177,0.0021805705601298016,0.47643039643401713,0.27233284978851685,0.0021805705601298016,22.034905835073292,14.81959797230738,4.181392958898977,-0.008602548521981456,-0.015006277388721994
4,1,MS,5,1e-07,3.11e-06,0.001067092198558362,4.710170880033399e-05,0.001999897531169795,0.005881578190777695,4.710170880033399e-05,4.282738764498661,14.81949763450764,4.181358749612806,-0.0001900883403187411,-0.0004869685244366084
4,1,MS,6,2.06e-08,6.4e-07,0.00021959541958197073,9.691446984238765e-06,2.710858321844637e-06,0.0012103599289143782,9.691446984238765e-06,0.028209869411695752,14.81952430523393,4.181362546301255,-8.47122447274663e-05,-0.00023244589295100452
8,1,MS,4,4.64e-06,0.000144,0.044940787320393,0.004259325841916927,0.4738608581846976,0.2573400552155973,0.004259325841916927,21.916064691042262,14.218554644807606,4.089602826127704,-0.0068457194428115055,-0.014257242653167055
8,1,MS,5,1e-07,3.11e-06,0.0009706405072228174,9.199603230008225e-05,0.0019994222528584454,0.005558044161446969,9.199603230008225e-05,4.2817209659283755,14.21895758898971,4.089648157548417,-0.0010776470833852353,-0.003742213735221903
8,1,MS,6,2.06e-08,6.4e-07,0.0001997767267362275,1.893101767474638e-05,5.326233864489947e-06,0.0011438854646070938,1.893101767474638e-05,0.05542612115234851,14.219945620589739,4.089801013621667,-0.001018329702269034,-0.0035578648447404018
12,1,MS,4,4.64e-06,0.000144,0.042286405845470096,0.006254788883624718,0.47129748180745734,0.24601605003407936,0.006254788883624718,21.797508533594904,13.752221509540776,4.028242541748413,-0.008377798619803044,-0.03236948410815253
12,1,MS,5,1e-07,3.11e-06,0.0009135294216231546,0.00013511907294533963,0.0019987077832844097,0.005315128814530296,0.00013511907294533963,4.280190944268222,13.755819987306277,4.028534381988226,-0.0038623193766208876,-0.02551507429150781
12,1,MS,6,2.06e-08,6.4e-07,0.0001881118502872667,2.7810656046718618e-05,7.873454153401259e-06,0.0010945785867766068,2.7810656046718618e-05,0.08193313228383185,13.763223210755365,4.029179867561922,-0.003824671943824073,-0.025394854150188533
16,1,MS,4,4.64e-06,0.000144,0.04108957152404437,0.0075058788371037185,0.4696503378823,0.2428103258717211,0.0075058788371037185,21.721328127056374,13.618214558720748,3.9986556056518556,-0.0192470897823134,-0.32326881735555785
16,1,MS,5,1e-07,3.11e-06,0.0008885435135489142,0.00016225786034896702,0.0019981506213891907,0.005268457164180625,0.00016225786034896702,4.278997793714473,13.665598974127965,3.999967420080157,-0.015339888877203778,-0.3263139029126499
16,1,MS,6,2.06e-08,6.4e-07,0.000183328524215988,3.343560234003639e-05,9.484778125379598e-06,0.0010943638667657528,3.343560234003639e-05,0.09870097236723145,13.761211354886377,4.002668248251895,-0.015312699199322474,-0.32636662799817656
20,1,MS,4,4.64e-06,0.000144,0.03988901984531765,0.009459682697078413,0.4671040294017196,0.2497520764618121,0.009459682697078413,21.60356135982953,13.907278423310435,3.967666164879072,-0.030353122815990285,-0.5387880073944051
20,1,MS,5,1e-07,3.11e-06,0.0008634934825086781,0.0002047410144070694,0.001997203430510561,0.005435485978609306,0.0002047410144070694,4.276969404244482,13.986630719159244,3.9701070078202063,-0.027035116945991054,-0.5539757302806794
20,1,MS,6,2.06e-08,6.4e-07,0.00017853877137832634,4.228286479644945e-05,1.1955394758249808e-05,0.0011358469810995632,4.228286479644945e-05,0.12441082670303705,14.146195021813655,3.975073180935214,-0.027017978114101632,-0.5542415253998021
24,1,MS,4,4.64e-06,0.000144,0.03893466234120722,0.009458327031341049,0.4645706004561545,0.2564458724840729,0.009458327031341049,21.486390271097147,8.568104464728081e-05,3.942036330847428,-0.011981982489819566,0.028463150363837765
24,1,MS,5,1e-07,3.11e-06,0.0008415142065541164,0.0002047403813487734,0.0019961627458302484,0.005536750148154206,0.0002047403813487734,4.274740799752236,1.4369357465906366e-09,3.942837918656803,-0.008743172547192308,0.024013941667507293
24,1,MS,6,2.06e-08,6.4e-07,0.0001734452633324332,4.2282837988553514e-05,1.4385554934064108e-05,0.0011386503340577272,4.2282837988553514e-05,0.14969968103260461,1.2640325423055824e-11,3.9445066574516345,-0.008727206659131667,0.02393533731313756
28,1,MS,4,4.64e-06,0.000144,0.038034218206561284,0.009456982665628614,0.4620503189348158,0.2575810874062608,0.009456982665628614,21.36982725073523,0.0003390219422668547,3.9169989625158634,-0.01206268643573101,0.018015123953697604
28,1,MS,5,1e-07,3.11e-06,0.000822077546422918,0.00020473974461161312,0.0019950433458506786,0.005561749072153377,0.00020473974461161312,4.272343628091807,3.878229690250589e-09,3.9178419559174915,-0.008878073819422263,0.01726680665318839
28,1,MS,6,2.06e-08,6.4e-07,0.00016944967647394878,4.228281092755388e-05,1.6780523488525035e-05,0.0011440021267910957,4.228281092755388e-05,0.17462232255246365,3.386623354078167e-11,3.9195952925701896,-0.008862796004887348,0.017253228042552277
32,1,MS,4,4.64e-06,0.000144,0.03716596036491454,0.01145250410027056,0.45954312781874623,0.2570380108426832,0.01145250410027056,21.253869661617014,14.206256493064707,3.8920284728584664,-0.015668456800167506,-0.2077014566606358
32,1,MS,5,1e-07,3.11e-06,0.0008035997317698455,0.00024796708112254605,0.0019938477085116625,0.005567051910794086,0.00024796708112254605,4.269783195719509,14.235926702875451,3.89327076605938,-0.012538329688581012,-0.2102671499425112
32,1,MS,6,2.06e-08,6.4e-07,0.00016576135881439972,5.121563859689827e-05,1.914136288467596e-05,0.0011521913370166061,5.121563859689827e-05,0.19918980751865922,14.295863251625082,3.8958306227672765,-0.012523741985834901,-0.21031236715728235
36,1,MS,4,4.64e-06,0.000144,0.03659197210549629,0.013481225991767872,0.45704945156285065,0.2676645963678135,0.013481225991767872,21.138537134781842,14.634409552612125,3.8750540763725736,-0.08383835782706425,-1.8924926150472174
36,1,MS,5,1e-07,3.11e-06,0.0007963360688189342,0.0002926628232775133,0.001992607344279744,0.00592407350993544,0.0002926628232775133,4.2671269816408675,14.89703243255199,3.8833872504566576,-0.08112178806202916,-1.9134133913590858
36,1,MS,6,2.06e-08,6.4e-07,0.0001664059270845026,6.0754169914856444e-05,2.1483180052908544e-05,0.0012787958212129669,6.0754169914856444e-05,0.2235593424255795,15.418201030382859,3.900038586797078,-0.08111405524836689,-1.913777663026146
40,1,MS,4,4.64e-06,0.000144,0.036290792290560904,0.015610078332841318,0.45457041176551133,0.29368608737616053,0.015610078332841318,21.0238815441549,15.644930828006583,3.865993595951752,-0.1082996745996812,-2.5971318927354132
40,1,MS,5,1e-07,3.11e-06,0.0007916832250020216,0.0003397808231384018,0.0019913373264439107,0.0065398891083895665,0.0003397808231384018,4.26440726498921,15.987133756996156,3.8769878040024404,-0.10585451716101821,-2.6317917148942582
40,1,MS,6,2.06e-08,6.4e-07,0.00016622001825057801,7.089101117580773e-05,2.3803288940057914e-05,0.0014279398671527186,7.089101117580773e-05,0.24770297553247766,16.661571895852436,3.8988273277615715,-0.10585124544432585,-2.6323982583162584
44,1,MS,4,4.64e-06,0.000144,0.03614408191073011,0.0178810010108042,0.4521068217548873,0.322700656969299,0.0178810010108042,20.90994050616354,16.712213001756293,3.861540954738518,-0.12011132678303171,-2.312382922134574
44,1,MS,5,1e-07,3.11e-06,0.0007894096596268378,0.000389776269421864,0.001990051158631175,0.007144994779324546,0.000389776269421864,4.261652963499558,17.000652427337048,3.8738410960791603,-0.11780696446646546,-2.3442287502984938
44,1,MS,6,2.06e-08,6.4e-07,0.0001661250320950393,8.154019596544783e-05,2.6102503048396777e-05,0.0015434923579404445,8.154019596544783e-05,0.27162917234737893,17.571144009383993,3.898207705377872,-0.11780593329182731,-2.344789056119658
48,1,MS,4,4.64e-06,0.000144,0.03578835034465224,0.01787843010544134,0.4496584666449585,0.33510954556024186,0.01787843010544134,20.79670408232933,8.773044577910547e-07,3.8506364631232475,-0.048489003223002515,0.13965051520886024
48,1,MS,5,1e-07,3.11e-06,0.000776348422271691,0.0003897750748350973,0.0019887197031081,0.007227675000646985,0.0003897750748350973,4.258801679324741,1.065033682756088e-11,3.8555088639468544,-0.04592792822061956,0.13119061562034898
48,1,MS,6,2.06e-08,6.4e-07,0.0001611951748304355,8.154012787970006e-05,2.8363055618205485e-05,0.001483282876280178,8.154012787970006e-05,0.2951530475269508,9.296582524079295e-14,3.865331238734465,-0.04592236436542631,0.13103796781510937
