t,plant,axis,organ,C_exudation,Conc_Amino_Acids,Conc_Nitrates,Conc_Sucrose,Conc_cytokinins,Dry_Mass,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,Nstruct_N_growth,Proteins_N_Mass,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_growth,R_maintenance,R_residual,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,amino_acids,cytokinins,mstruct,mstruct_C_growth,mstruct_death,nitrates,proteins,regul_transpiration,starch,structure,sucrose,total_organic_nitrogen
0,1,MS,grains,NA,NA,NA,NA,NA,0.0845147058824,NA,NA,NA,NA,NA,NA,NA,0.001498,7.88425047438e-07,NA,NA,0.0,2.84032899484,NA,NA,NA,NA,1.34726755218,NA,0.0,6.95390891841,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.0,NA,0.0,2450.0,NA,NA
0,1,MS,phloem,NA,55.0427350427,NA,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,831.0,NA
0,1,MS,roots,5.38865205644,101.82107178,496.377724929,122.439838816,4.95126853062,NA,0.0188850829007,0.00262292818066,0.00523263680328,39.0212168431,0.436917734306,0.00999317576642,NA,NA,NA,2.8819301137,2.49698858336,NA,NA,NA,5.39596059584,3.77983918667,2.88995133989,NA,0.883795471018,NA,NA,5.22005403783,26.9432602822,6.28964378681,60.0,2.4937,0.503648708321,NA,1.764e-07,250.0,NA,0.00291436464517,NA,NA,740.0,773.79826903
1,1,MS,grains,NA,NA,NA,NA,NA,0.0847675674103,NA,NA,NA,NA,NA,NA,NA,0.00150991732418,1.17260855152e-06,NA,NA,0.0,4.2338603184,NA,NA,NA,NA,0.632817208404,NA,0.0,10.3656580209,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.851237441,NA,0.0,2455.50780481,NA,NA
1,1,MS,phloem,NA,56.0663808157,NA,89.5417822447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.994163886,NA,NA,NA,NA,NA,NA,NA,NA,NA,2686.25346734,NA
1,1,MS,roots,11.1878594558,104.262909336,505.455009835,120.481618124,5.2527017432,NA,0.0193379783954,0.00267089380278,0.00555119971542,38.0121492558,0.943975375173,0.00999317576642,NA,NA,NA,2.87325676754,2.40384341506,NA,NA,NA,5.39596059584,3.75440638471,2.88125385335,NA,0.86265713154,NA,NA,3.41506056563,55.9392972788,6.05502119664,61.4388991471,2.64551644816,0.503648708321,NA,1.764e-07,254.571762818,NA,0.00291436464517,NA,NA,728.164936134,775.237168177
2,1,MS,grains,NA,NA,NA,NA,NA,0.0850157778712,NA,NA,NA,NA,NA,NA,NA,0.00151779134279,1.2385795094e-06,NA,NA,0.0,4.48361081007,NA,NA,NA,NA,0.514267861512,NA,0.0,10.9771161212,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.413667342,NA,0.0,2461.85158032,NA,NA
2,1,MS,phloem,NA,56.914219523,NA,118.447056937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.474092105,NA,NA,NA,NA,NA,NA,NA,NA,NA,3553.41170812,NA
2,1,MS,roots,12.6794106524,105.744825292,514.4926288,119.606909328,5.49883079904,NA,0.00644959618174,0.000894016306382,0.00191102617421,37.0087766461,1.09296571576,0.00998615790483,NA,NA,NA,2.8674081489,2.32788673918,NA,NA,NA,5.39209349678,3.74132652143,2.87745112645,NA,0.854106789304,NA,NA,2.97009402536,63.397053262,5.86369455713,62.2674892953,2.76749423901,0.503287760643,NA,1.76277047912e-07,258.937843016,NA,0.000959063611527,NA,NA,722.360322639,775.564482497
3,1,MS,grains,NA,NA,NA,NA,NA,0.0852634730479,NA,NA,NA,NA,NA,NA,NA,0.00152463467665,1.26466474134e-06,NA,NA,0.0,4.59027301801,NA,NA,NA,NA,0.469287388776,NA,0.0,11.2382546303,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.902476904,NA,0.0,2468.43079849,NA,NA
