t,plant,axis,metamer,Nstruct,mstruct,amino_acids,fructan,proteins,sucrose,D_Fructan,D_Proteins,S_Fructan,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose
0,1,MS,4,4.64e-06,0.000144,0.016848,0.0,0.479,0.1728,NA,NA,NA,NA,NA,NA
0,1,MS,5,1e-07,3.11e-06,0.000364,0.0,0.002,0.003732,NA,NA,NA,NA,NA,NA
0,1,MS,6,2.06e-08,6.4e-07,7.5e-05,0.0,0.0,0.000768,NA,NA,NA,NA,NA,NA
4,1,MS,4,4.64e-06,0.000144,0.049242441717209179,0.0032680345010470857,0.48162641810463397,0.27116931879366396,0.0032680345010470857,3.0101651131539624,22.160406305775965,20.890869213855652,-0.0035213027980047023,-0.014866187570489308
4,1,MS,5,1e-07,3.11e-06,0.0010634833683020974,7.0633380136521829e-05,0.0020642330941436494,0.0058564365783868684,7.0633380136521829e-05,0.5973664902666509,22.160220880867584,20.890795484580629,-6.8528367005299718e-05,-0.00032103523886803316
4,1,MS,6,2.06e-08,6.4e-07,0.00021885139669448184,1.4540883856836408e-05,1.3588720312532939e-05,0.0012051808956149046,1.4540883856836408e-05,0.019109137939499445,22.160191569427223,20.890784983938133,-1.373162944668706e-05,-6.606435631834745e-05
8,1,MS,4,4.64e-06,0.000144,0.044664539643445175,0.0063761518688097013,0.48416320912135974,0.25522157958918446,0.0063761518688097013,3.0260200570084983,21.198206007123524,20.417370179348417,-0.002092602027560913,-0.014551490410973341
8,1,MS,5,1e-07,3.11e-06,0.00096461777401781964,0.00013797699131176834,0.0021265222380878498,0.0055120044637278461,0.00013797699131176834,0.61539228754953856,21.197999569834515,20.417307150282234,-1.1668118053114429e-05,-0.00023192422969472648
8,1,MS,6,2.06e-08,6.4e-07,0.00019850645409517567,2.8399412875891875e-05,2.6776979316350293e-05,0.0011343015840430393,2.8399412875891875e-05,0.037655127163617602,21.197977696277867,20.417304706064531,-2.0311642187610592e-06,-4.7726649940234394e-05
12,1,MS,4,4.64e-06,0.000144,0.041947068945008666,0.00935098895205521,0.48664148819461567,0.2430992456304189,0.00935098895205521,3.0415093012163474,20.445493011651884,20.099907283918434,-0.0049856335414110624,-0.033432134518878526
12,1,MS,5,1e-07,3.11e-06,0.00090590753239774575,0.00020263948533430812,0.0021875428922328907,0.005250070469298645,0.00020263948533430812,0.63305099775228346,20.444916695877396,20.099722225028149,1.5817437466722299e-05,-0.00015159309703462491
12,1,MS,6,2.06e-08,6.4e-07,0.00018642479162821771,4.1706238690809044e-05,3.9703869439323646e-05,0.0010803993175717466,4.1706238690809044e-05,0.055833566399048865,20.444902036139204,20.099724716690989,3.6245830821116392e-06,-3.1195477465368189e-05
16,1,MS,4,4.64e-06,0.000144,0.040332440143485991,0.012241749508234753,0.48907986170606266,0.24065555325680205,0.012241749508234753,3.0567491356628915,20.291455920611408,19.896351798298667,-0.01923535170404583,-0.31294399842480758
16,1,MS,5,1e-07,3.11e-06,0.00087094481583336117,0.0002437050960707667,0.0022476943830209242,0.0051955115714854179,0.0002437050960707667,0.65045818158161794,0.0092460753462165739,19.895607402720003,3.5590828369027496e-05,0.00014545907159805335
16,1,MS,6,2.06e-08,6.4e-07,0.00017923002693458223,4.9237128566546423e-05,5.2451566067844478e-05,0.0010691737934150063,4.9237128566546423e-05,0.073760014782906294,0.0092432539677340837,19.895613992326886,7.6933448054239327e-06,2.9936753277418655e-05
20,1,MS,4,4.64e-06,0.000144,0.03941801296803895,0.015168395645464121,0.49149304375205621,0.25250469545658721,0.015168395645464121,3.071831523450351,21.031137872687612,19.775653009877978,-0.031508201326825955,-0.53308887016902218
20,1,MS,5,1e-07,3.11e-06,0.00085111764747176108,0.00024404895924103387,0.0023072946308073006,0.0054500175830904047,0.00024404895924103387,0.66770584171272362,0.00059109635253345929,19.774397653913915,4.6662850453730701e-05,0.00036818024351469486
20,1,MS,6,2.06e-08,6.4e-07,0.0001751499136476946,4.930808477713883e-05,6.5085493579261316e-05,0.0011215495433737524,4.930808477713883e-05,0.091526475345836203,0.00059106555724379819,19.774406757488464,9.9714561282504823e-06,7.5768353282658007e-05
24,1,MS,4,4.64e-06,0.000144,0.038666034205217623,0.015166271863543726,0.49388799806640765,0.26172304871958901,0.015166271863543726,3.0867999879150476,5.8087251126049739e-05,19.673279512532865,-0.0083403084244085789,0.037274943676176432
24,1,MS,5,1e-07,3.11e-06,0.00083502284748180309,0.00024432251006672269,0.0023664989630657563,0.0056527155369040273,0.00024432251006672269,0.6848389282183861,0.01754122236739734,19.672920947037813,4.4809873237769953e-05,0.00011996158294418896
24,1,MS,6,2.06e-08,6.4e-07,0.00017183778781928958,4.9363061056110913e-05,7.7637604866024877e-05,0.0011632606089853361,4.9363061056110913e-05,0.10917788184284748,0.017543184540119022,19.672929915183577,9.5897429421904248e-06,2.4685711091925236e-05
28,1,MS,4,4.64e-06,0.000144,0.037860554528619916,0.015164114255278095,0.49626556587686882,0.26366786746441634,0.015164114255278095,3.1016597867304299,0.00045114724831007757,19.560354487109816,-0.0085958472684433893,0.018856183418567377
28,1,MS,5,1e-07,3.11e-06,0.00081762523070577468,0.00024749627452231524,0.0024253223276164072,0.0056946103006846726,0.00024749627452231524,0.7018617668343301,2.4268125289893074,19.559974939822123,4.3405660629889906e-05,2.2342182565867853e-05
28,1,MS,6,2.06e-08,6.4e-07,0.00016825756127950012,5.0432956305773035e-05,9.0110995089481114e-05,0.0011718812462475164,5.0432956305773035e-05,0.12671858684458281,0.681281408103248,19.559983879618393,9.3004426942057231e-06,7.2275618435379301e-06
32,1,MS,4,4.64e-06,0.000144,0.037024803904362732,0.018184789822333729,0.49862407023842031,0.2629955695347384,0.018184789822333729,3.116400438990127,21.67114663842947,19.439446133366484,-0.012702544782710011,-0.21366857425646876
32,1,MS,5,1e-07,3.11e-06,0.00079954956245488213,0.00026315756476779419,0.0024837278356960378,0.0056786288074038675,0.00026315756476779419,0.71876368235576649,6.5946577994034428,19.438878656222837,4.2781645614573476e-05,1.4747874787857317e-05
32,1,MS,6,2.06e-08,6.4e-07,0.0001645378053639589,5.3705668274237456e-05,0.00010249806627724671,0.0011685925242285644,5.3705668274237456e-05,0.14413790570237819,6.5975944332959742,19.438887748799086,9.1717003599420251e-06,3.0342850845603576e-06
36,1,MS,4,4.64e-06,0.000144,0.036395145382541114,0.021239305473262447,0.5009644321829877,0.2719321408548207,0.021239305473262447,3.1310277011436729,22.205655510122519,19.345725224882706,-0.080500012366150508,-1.9556822791178778
36,1,MS,5,1e-07,3.11e-06,0.00078552376671293966,0.00026501577652114953,0.0025417262653462465,0.0058606494997888326,0.00026501577652114953,0.73554779383010349,0.00060557297092808085,19.342163248160347,4.9495580638403243e-05,0.00037176664044414524
36,1,MS,6,2.06e-08,6.4e-07,0.00016165151388382445,5.4090753375318319e-05,0.00011480103271371601,0.0012060525989378474,5.4090753375318319e-05,0.16143895225366314,0.00060552193677421585,19.342174132766282,1.0553049153692728e-05,7.6507220454662735e-05
40,1,MS,4,4.64e-06,0.000144,0.035987382279454486,0.024399736601484527,0.50329138853857924,0.2959294241300035,0.024399736601484527,3.14557117836612,23.594437551660995,19.28378251833627,-0.095903482198333334,-2.6956597288345368
40,1,MS,5,1e-07,3.11e-06,0.00077662001694370469,0.00026539317969442319,0.0025994268791624735,0.00637424702888341,0.00026539317969442319,0.75224572065795059,0.00011456954193341304,19.27947273019468,5.3533570045433902e-05,0.00066074750825599843
40,1,MS,6,2.06e-08,6.4e-07,0.00015981925859110842,5.4162513930785672e-05,0.00012704238328649329,0.0013117466703199453,5.4162513930785672e-05,0.1786533514966312,0.00011456618794142592,19.279484746409363,1.1383676603761226e-05,0.00013597520134081469
44,1,MS,4,4.64e-06,0.000144,0.035690628292358202,0.027793412264796983,0.50560811983619791,0.32295677655308208,0.027793412264796983,3.1600507489762366,25.082054682319082,19.238069011018673,-0.099252124775427053,-2.3714938730007518
44,1,MS,5,1e-07,3.11e-06,0.00077018978855386956,0.00026569804626376894,0.0026569006765529441,0.0069600072473407241,0.00026569804626376894,0.7688780092918488,0.00017195170437519754,19.233555950217312,5.4853924213808672e-05,0.00058906889754502733
44,1,MS,6,2.06e-08,6.4e-07,0.00015849600519890098,5.4226798863758218e-05,0.00013923670748921171,0.0014322884761996748,5.4226798863758218e-05,0.19580161990670397,0.00017195291279576086,19.233568425396001,1.1655045932241506e-05,0.00012122297598983974
48,1,MS,4,4.64e-06,0.000144,0.035263777674481404,0.027789548494846952,0.50791469244042109,0.33560621765844623,0.027789548494846952,3.1744668277526316,9.2470014608909698e-07,19.17135670692695,-0.037666763313902077,0.15713359189352932
48,1,MS,5,1e-07,3.11e-06,0.00076135866327664179,0.00026634478683894563,0.0027141590354873442,0.0072491367499746056,0.00026634478683894563,0.78544795239183596,0.0077960959013816285,19.169597460664349,5.0490356813639507e-05,0.00016672893394831327
48,1,MS,6,2.06e-08,6.4e-07,0.00015667863771104957,5.4360035115275658e-05,0.00015138637939399616,0.0014917849082092098,5.4360035115275658e-05,0.21288709602280709,0.0077968292369228632,19.169609084398125,1.0756723840111661e-05,3.4309707298830195e-05
