t,plant,axis,organ,mstruct,Nstruct,age_from_flowering,amino_acids,cytokinins,nitrates,proteins,starch,structure,sucrose,C_exudation,HATS_LATS,N_exudation,RGR_Structure,R_Nnit_red,R_Nnit_upt,Respi_growth,R_grain_growth_starch,R_grain_growth_struct,R_residual,regul_transpiration,sum_respi,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,S_Amino_Acids,S_cytokinins,S_grain_starch,S_grain_structure,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,Total_Organic_Nitrogen
0,1,MS,phloem,NA,NA,NA,100,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,MS,roots,0.150009736,0.0045001950000000002,NA,20,2.233310479,7.5,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.44250000000005
4,1,MS,phloem,NA,NA,NA,84.401728222823351,NA,NA,NA,NA,NA,465.5316029013116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,MS,roots,0.150009736,0.0045001950000000002,NA,20.278323590410746,2.2303860629971286,8.5652851359974882,NA,NA,NA,27.185065816406329,14.129006260179573,50.604102152294651,10.539336667044179,NA,0.20891695872958255,0.52243852557863801,NA,NA,NA,0.4933514080865275,0.00018198773068875515,1.2247068923947482,0.0039856385797823902,5.6115964965683091e-05,0.0029225008667856552,0.70337844951604467,5.8553040696754796e-09,NA,NA,NA,12.808072953567534,70.645031300897855,1.3159660593920353,341.72082359041082
8,1,MS,phloem,NA,NA,NA,76.722916189219362,NA,NA,NA,NA,NA,440.31159969483207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,MS,roots,0.15012436000000001,0.0045024870000000003,NA,20.836667659599698,1.7572821159818039,9.9064029436333279,NA,NA,NA,33.840962487171986,13.851390536573408,49.695364413341608,8.5286233021093807,NA,0.24932345829862612,0.63150870165149819,NA,NA,NA,0.60013921229159373,6.3684896037685722e-05,1.4809713722417182,0.0014331394947672885,2.2711976696617643e-05,0.00080576876782933603,0.83877752108092019,5.5713038277249815e-08,NA,NA,NA,12.06780693465956,69.256952682867038,1.5907020192732952,342.44288194531401
12,1,MS,phloem,NA,NA,NA,72.149703555938004,NA,NA,NA,NA,NA,421.74744482815618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,MS,roots,0.15031046300000001,0.0045062090000000006,NA,21.559682718302003,1.2537469699214587,11.482003871949333,NA,NA,NA,40.05317135340173,13.630080758486464,48.667360246980614,7.3367527875628165,NA,0.28424105012243089,0.72403337606912066,NA,NA,NA,0.69606299447257991,0.00031940654022300017,1.7043374206641313,0.0074372079585871284,0.00013202737673639141,0.0028832758702393175,0.95506382626483999,3.1804812020107527e-07,NA,NA,NA,11.658710659989755,68.150403792432314,1.8237616525670546,343.43175414687346
16,1,MS,phloem,NA,NA,NA,69.04083509146227,NA,NA,NA,NA,NA,419.99474707526082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,MS,roots,0.150537845,0.0045107569999999998,NA,22.334514924198579,0.30358623305644444,13.254975862116561,NA,NA,NA,45.923041063993814,13.601526366729665,47.542877752359843,6.6150561154319352,NA,0.31496041740607494,0.80247771753479025,NA,NA,NA,0.78368605335690811,0.0023119045701780676,1.9011241882977732,0.055766088496042157,0.0011031926138361809,0.0050534092774536321,1.056683904847024,1.3121646859577976e-06,NA,NA,NA,11.1794343312261,68.007631833648318,2.0213544522286906,344.53144349562712
