t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,20.0,1,700000,NA,NA
4,1,MS,20.0,1,699524.73986345646,699524.73986345646,0.0073799999999999994
8,1,MS,20.0,1,698927.32601548207,698927.32601548207,0.0073799999999999994
12,1,MS,20.0,1,698225.95326946536,698225.95326946536,0.0073799999999999994
16,1,MS,20.0,1,697436.50948249816,697436.50948249816,0.0073799999999999994
20,1,MS,20.0,1,696571.44060848549,696571.44060848549,0.0073799999999999994
24,1,MS,20.0,1,695640.1330359698,695640.1330359698,0.0073799999999999994
28,1,MS,20.0,1,694651.04011299484,694651.04011299484,0.0073799999999999994
32,1,MS,20.0,1,693613.64755357255,693613.64755357255,0.0073799999999999994
36,1,MS,20.0,1,692536.40148776944,692536.40148776944,0.0073799999999999994
40,1,MS,20.0,1,691425.37637605809,691425.37637605809,0.0073799999999999994
44,1,MS,20.0,1,690284.69237837172,690284.69237837172,0.0073799999999999994
48,1,MS,20.0,1,689118.50615339284,689118.50615339284,0.0073799999999999994
