t,plant,axis,metamer,Nstruct,mstruct,amino_acids,fructan,proteins,sucrose,D_Fructan,D_Proteins,S_Fructan,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,nb_replications
0,1,MS,4,4.64e-06,0.000144,0.016848,0.0,0.479,0.1728,NA,NA,NA,NA,NA,NA,1
0,1,MS,5,1e-07,3.11e-06,0.000364,0.0,0.002,0.003732,NA,NA,NA,NA,NA,NA,1
0,1,MS,6,2.06e-08,6.4e-07,7.5e-05,0.0,0.0,0.000768,NA,NA,NA,NA,NA,NA,1
4,1,MS,4,4.64e-06,0.000144,0.04907399490246063,0.0032655140554040825,0.49690665328638195,0.27058745985134158,0.0032655140554040825,3.1056665830398869,22.125844649040747,125.24794108855488,0.011308587402998196,-0.015411624302986437,1
4,1,MS,5,1e-07,3.11e-06,0.0010599126768953164,7.0578922596832157e-05,0.0023942616656287379,0.0058438675665156503,7.0578922596832157e-05,0.69287315082503664,22.125652195240786,125.24930037549926,0.00025175823908595604,-0.00033281491050250522,1
4,1,MS,6,2.06e-08,6.4e-07,0.00021811878134531885,1.4529676378437762e-05,8.1505147601990824e-05,0.0012025942660279039,1.4529676378437762e-05,0.11461661381529958,22.1256217725794,125.24952223826118,5.2179514143297709e-05,-6.848846061517282e-05,1
8,1,MS,4,4.64e-06,0.000144,0.044327281856266894,0.0063663214582533219,0.5142568084393454,0.25412851443544487,0.0063663214582533219,3.2141050527459085,21.131102687411534,122.27740555557378,0.012600537164810579,-0.015212393537661646,1
8,1,MS,5,1e-07,3.11e-06,0.00095740098009863589,0.00013776432393733224,0.0027764898497856698,0.005488394006274099,0.00013776432393733224,0.80348580861964713,21.130886434374446,122.27912246166657,0.00030115052992634692,-0.00024265240612343636,1
8,1,MS,6,2.06e-08,6.4e-07,0.00019702346434823952,2.8355646988131678e-05,0.00016053312767394396,0.0011294427670543808,2.8355646988131678e-05,0.22574971079148368,21.130863497624738,122.27943301615318,6.2343248268054019e-05,-4.9934373231481352e-05,1
12,1,MS,4,4.64e-06,0.000144,0.041423230210863353,0.0093291823116506706,0.53123298191404944,0.24155285664697107,0.0093291823116506706,3.3202061369628089,20.348108014189101,120.21094567282798,0.011057012460645534,-0.034990506204721904,1
12,1,MS,5,1e-07,3.11e-06,0.00089467016289448173,0.00020216779912848382,0.0031506479776399672,0.0052166637491852215,0.00020216779912848382,0.91176308034597109,20.34750351753452,120.21245183753516,0.00032163690344675592,-0.00016129753494998836,1
12,1,MS,6,2.06e-08,6.4e-07,0.00018411436870754481,4.1609169045553394e-05,0.00023790010084114827,0.0010735245564226993,4.1609169045553394e-05,0.33454701680786475,20.347487869129672,120.21281913656166,6.6558684473084489e-05,-3.3192530287158907e-05,1
16,1,MS,4,4.64e-06,0.000144,0.039707474882317254,0.012204569464232101,0.54794718675473397,0.23886231791605572,0.012204569464232101,3.4246699172170869,20.177920635415283,118.88580912205205,-0.012747894820568501,-0.32335186713927699,1
16,1,MS,5,1e-07,3.11e-06,0.0008574632345735787,0.00023864080285758316,0.003519132218977027,0.0051567170270300838,0.00023864080285758316,1.0183983913438341,0.0087694899775417265,118.8818269079844,0.00034224116696690473,0.00014777155822245127,1
16,1,MS,6,2.06e-08,6.4e-07,0.00017645777833119383,4.9420884615686588e-05,0.0003140991582724227,0.0010611903623794787,4.9420884615686588e-05,0.44170194132059432,0.0087019887872380047,118.8822432280828,7.0798510772183225e-05,3.0488048820727189e-05,1
20,1,MS,4,4.64e-06,0.000144,0.038916596493000291,0.015116751857672361,0.56450639735232122,0.25109710611916886,0.015116751857672361,3.5281649834520077,20.944213990023751,118.24626938994008,-0.036190253818267362,-0.54930771239821319,1
20,1,MS,5,1e-07,3.11e-06,0.00084023389132256482,0.00023898138277138372,0.0038842511921102518,0.0054195146398181163,0.00023898138277138372,1.1240598305142209,0.0005372225797657833,118.23652119716529,0.00035628219259339851,0.0003795713578528888,1
20,1,MS,6,2.06e-08,6.4e-07,0.0001729122860035217,4.9491177297921879e-05,0.00038960537644878952,0.0011152724882161097,4.9491177297921879e-05,0.54788256063111029,0.00053719512108648488,118.23696780400034,7.3687632468626477e-05,7.8112523407973267e-05,1
24,1,MS,4,4.64e-06,0.000144,0.038267773823688379,0.015114593524760904,0.58097213966200212,0.26068787378065411,0.015114593524760904,3.631075872887513,4.6805673852398858e-05,117.707260234516,0.010445509565330201,0.040018136259979749,1
24,1,MS,5,1e-07,3.11e-06,0.00082651503367201699,0.00023923357086920216,0.0042473911031063365,0.0056303762470807251,0.00023923357086920216,1.2291485507381681,0.019592789137045128,117.70871724010394,0.00034865162254100524,0.00011550353368961242,1
24,1,MS,6,2.06e-08,6.4e-07,0.00017008906058733601,4.9542919698091428e-05,0.00046470400430188673,0.0011586634256271354,4.9542919698091428e-05,0.65349000604952823,0.019595293956276662,117.70916481963577,7.2116913842507118e-05,2.3768206150639403e-05,1
