t,plant,axis,organ,mstruct,Nstruct,age_from_flowering,amino_acids,cytokinins,nitrates,proteins,starch,structure,sucrose,C_exudation,HATS_LATS,N_exudation,RGR_Structure,R_Nnit_red,R_Nnit_upt,Respi_growth,R_grain_growth_starch,R_grain_growth_struct,R_residual,regul_transpiration,sum_respi,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,S_Amino_Acids,S_cytokinins,S_grain_starch,S_grain_structure,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,Total_Organic_Nitrogen
0,1,MS,phloem,NA,NA,NA,100,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,MS,roots,0.150009736,0.0045001950000000002,NA,20,2.233310479,7.5,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.44250000000005
4,1,MS,phloem,NA,NA,NA,84.402879997299934,NA,NA,NA,NA,NA,465.5316030004085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,MS,roots,0.150009736,0.0045001950000000002,NA,20.322451818865318,2.225918255813351,8.4942492232308258,NA,NA,NA,26.852158312443819,14.129006261219843,50.654479467981325,10.69322047230081,NA,0.34361224553751019,0.51682880085473781,NA,NA,NA,0.48789472819632068,0.0046048262860354256,1.3483357745885687,0.010106786915877542,0.00014081235157176948,0.0073799761643535211,1.1568684991903302,1.7184091484168503e-09,NA,NA,NA,12.808247735071504,70.645031306099213,1.3018357704149566,341.76495181886537
8,1,MS,phloem,NA,NA,NA,76.725634567605638,NA,NA,NA,NA,NA,440.31148148725811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,MS,roots,0.15012436000000001,0.0045024870000000003,NA,20.921680797878288,1.7560654062458285,9.7433117387125687,NA,NA,NA,33.147187467277433,13.851389202595465,49.809243429962386,8.7426525641115784,NA,0.39564636715610363,0.62065838903584025,NA,NA,NA,0.58934853243671359,0.0015988211350056753,1.6056532886286574,0.0036126027474649423,5.6080125838089174e-05,0.0020214968298898736,1.3310391301823881,1.4976587291305129e-08,NA,NA,NA,12.068236588134173,69.256946012977323,1.5633712570172298,342.52789508359263
12,1,MS,phloem,NA,NA,NA,72.155923857981136,NA,NA,NA,NA,NA,421.74776612321853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,MS,roots,0.15031046300000001,0.0045062090000000006,NA,21.67496448130483,1.2492753122952305,11.209419037965437,NA,NA,NA,38.982988099804352,13.630084589820175,48.854196688889459,7.5784749646478566,NA,0.4383768862232118,0.70857567423071044,NA,NA,NA,0.68013354354087496,0.0081565621433595005,1.8270861039947972,0.019093665032662258,0.00032914916270683974,0.0073366500376086437,1.4729677719740701,7.9965413059840037e-08,NA,NA,NA,11.659710196942314,68.150422949100872,1.784825375895996,343.54703590987629
16,1,MS,phloem,NA,NA,NA,69.068799525333091,NA,NA,NA,NA,NA,419.99905029680258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,MS,roots,0.150537845,0.0045107569999999998,NA,22.386594978869695,0.29389822289964196,12.857275349722727,NA,NA,NA,44.468049208201272,13.601577971287213,47.809785651067706,6.8474561519682124,NA,0.47445788025405389,0.78317331514463517,NA,NA,NA,0.7628439158158854,0.06816552076692714,2.0204751112145747,0.16480734173275635,0.0031551223314874497,0.014424282299828539,1.5917936917955877,3.1267569045930145e-07,NA,NA,NA,11.183890314313114,68.007889856436066,1.9727287535129348,344.58352355029825
