t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,20.0,1,700000,NA,NA
4,1,MS,20.0,1,699524.59357010003,699524.59357010003,0.0073799999999999994
8,1,MS,20.0,1,698757.77637530572,698757.77637530572,0.0073799999999999994
12,1,MS,20.0,1,697836.31206696597,697836.31206696597,0.0073799999999999994
16,1,MS,20.0,1,696828.2157336761,696828.2157336761,0.0073799999999999994
20,1,MS,20.0,1,695763.29351855209,695763.29351855209,0.0073799999999999994
24,1,MS,20.0,1,694646.18926781509,694646.18926781509,0.0073799999999999994
28,1,MS,20.0,1,693484.46264030016,693484.46264030016,0.0073799999999999994
32,1,MS,20.0,1,692294.50815078104,692294.50815078104,0.0073799999999999994
36,1,MS,20.0,1,691089.67570446047,691089.67570446047,0.0073799999999999994
40,1,MS,20.0,1,689867.79644211673,689867.79644211673,0.0073799999999999994
44,1,MS,20.0,1,688613.07186108665,688613.07186108665,0.0073799999999999994
48,1,MS,20.0,1,687314.74484536692,687314.74484536692,0.0073799999999999994
