t,plant,axis,organ,C_exudation,Conc_Amino_Acids,Conc_Nitrates,Conc_Sucrose,Conc_cytokinins,Dry_Mass,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,Nstruct_N_growth,Proteins_N_Mass,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_growth,R_maintenance,R_residual,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,amino_acids,cytokinins,mstruct,mstruct_C_growth,mstruct_death,nitrates,proteins,regul_transpiration,starch,structure,sucrose,total_organic_nitrogen
0,1,MS,grains,NA,NA,NA,NA,NA,0.0845147058824,NA,NA,NA,NA,NA,NA,NA,0.001498,7.88425047438e-07,NA,NA,0.0,2.84032899484,NA,NA,NA,NA,1.34726755218,NA,0.0,6.95390891841,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.0,NA,0.0,2450.0,NA,NA
0,1,MS,phloem,NA,55.0427350427,NA,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,831.0,NA
0,1,MS,roots,5.38865205644,101.82107178,496.377724929,122.439838816,4.95126853062,NA,0.0188850829007,0.00262292818066,0.00523263680328,69.4316067205,0.436917734306,0.00999317576642,NA,NA,NA,2.8819301137,4.4429657333,NA,NA,NA,5.39596059584,3.77983918667,2.88995133989,NA,0.883795471018,NA,NA,5.22005403783,26.9432602822,11.1913494542,60.0,2.4937,0.503648708321,NA,1.764e-07,250.0,NA,0.00291436464517,NA,NA,740.0,773.79826903
1,1,MS,grains,NA,NA,NA,NA,NA,0.0847675674103,NA,NA,NA,NA,NA,NA,NA,0.00150991732418,1.17260855153e-06,NA,NA,0.0,4.2338603184,NA,NA,NA,NA,0.632817207733,NA,0.0,10.3656580209,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.851237441,NA,0.0,2455.50780481,NA,NA
1,1,MS,phloem,NA,56.0663807562,NA,89.5417822447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.994163712,NA,NA,NA,NA,NA,NA,NA,NA,NA,2686.25346734,NA
1,1,MS,roots,11.1878594558,104.261512675,514.784388595,120.173573926,5.25258878505,NA,0.0193377193522,0.00272019152351,0.00555108033813,66.4817371866,0.946382415486,0.00999317576642,NA,NA,NA,2.87212913053,4.19632568602,NA,NA,NA,5.39596059584,3.74925131798,2.88012307781,NA,0.862209284688,NA,NA,3.41506056201,55.9392972788,10.5700898892,61.4380761382,2.64545955693,0.503648708321,NA,1.764e-07,259.27049238,NA,0.00291436464517,NA,NA,726.303183385,775.236345168
2,1,MS,grains,NA,NA,NA,NA,NA,0.0850157778708,NA,NA,NA,NA,NA,NA,NA,0.00151779134274,1.2385795094e-06,NA,NA,0.0,4.48361081007,NA,NA,NA,NA,0.514267853147,NA,0.0,10.9771161212,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.413667339,NA,0.0,2461.85158032,NA,NA
2,1,MS,phloem,NA,56.9142185975,NA,118.447056938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.474089398,NA,NA,NA,NA,NA,NA,NA,NA,NA,3553.41170813,NA
2,1,MS,roots,12.6794106524,105.739156963,532.475329572,119.014938694,5.49773280251,NA,0.00644922354064,0.000925260370755,0.00191063660931,63.7163690153,1.09834315986,0.00998611589223,NA,NA,NA,2.86516378612,3.99320234577,NA,NA,NA,5.39207099118,3.73131365123,2.87521090347,NA,0.852371966795,NA,NA,2.97009397705,63.3970532622,10.0584441959,62.2638916397,2.76693008209,0.503285660013,NA,1.76277047912e-07,267.987197684,NA,0.000959063611527,NA,NA,718.782143663,775.557883942
3,1,MS,grains,NA,NA,NA,NA,NA,0.0852634730465,NA,NA,NA,NA,NA,NA,NA,0.0015246346764,1.26466474768e-06,NA,NA,0.0,4.59027304103,NA,NA,NA,NA,0.469287367685,NA,0.0,11.2382546866,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.902476885,NA,0.0,2468.43079851,NA,NA
