plant,axis,phytomer,organ,element,width,height
1,MS,1,Internode,enclosed,0.00257,0.30000
1,MS,1,Internode,exposed,0.00257,0.40000
1,MS,1,Lamina,exposed,0.01800,0.60000
1,MS,1,Sheath,exposed,0.00110,0.50000
1,MS,2,Internode,enclosed,0.00099,0.18000
1,MS,2,Lamina,exposed,0.01400,0.38000
1,MS,2,Sheath,exposed,0.00091,0.30000
1,MS,3,Internode,enclosed,0.00093,0.08000
1,MS,3,Lamina,exposed,0.01250,0.24000
1,MS,3,Sheath,exposed,0.00051,0.18000
1,MS,4,Peduncle,enclosed,0.00349,0.65000
1,MS,4,Peduncle,exposed,0.00349,0.50000
1,MS,5,Chaff,exposed,0.00265,0.70000
