t,plant,axis,organ,mstruct,Nstruct,age_from_flowering,amino_acids,cytokinins,nitrates,proteins,starch,structure,sucrose,C_exudation,HATS_LATS,N_exudation,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_residual,regul_transpiration,sum_respi,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,S_Amino_Acids,S_cytokinins,S_grain_starch,S_grain_structure,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,Total_Organic_Nitrogen
0,1,MS,grains,NA,NA,0.0,NA,NA,NA,107.0,0.0,2450.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,MS,phloem,NA,NA,NA,100.0,NA,NA,NA,NA,NA,500.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,MS,roots,0.150009736,0.0045001950000000002,NA,20.0,2.233310479,7.5,NA,NA,NA,20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.44250000000005
4,1,MS,grains,NA,NA,57599.999999999993,NA,NA,NA,114.95965187471796,0.0,2475.8173364115169,NA,NA,NA,NA,1.2051033447293006e-06,NA,NA,0.0,4.3871758396935681,NA,NA,NA,NA,NA,NA,NA,NA,0,10.741016710973906,1.8811166431571216,NA,NA,NA,NA
4,1,MS,phloem,NA,NA,NA,69.290562813354285,NA,NA,NA,NA,NA,395.64324508975244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,MS,roots,0.150009736,0.0045001950000000002,NA,21.182456702928224,1.4222831701092411,12.651877474258136,NA,NA,NA,42.097920954649446,11.896314194676247,47.751068703103606,5.9858813603793664,NA,0.45948466965361778,0.74568927689369358,NA,NA,0.51268925718014724,0.15667413949039791,1.7178632037274588,0.35842426303218022,0.0071359992583824323,0.16044119408774923,1.5469860201042158,1.8621351619981282e-07,NA,NA,NA,10.417242252760033,59.481570973381231,1.8783105211428048,342.62495670292827
8,1,MS,grains,NA,NA,115200.00000000003,NA,NA,NA,122.32560516719316,0.0,2500.7888801827698,NA,NA,NA,NA,1.1509250018988699e-06,NA,NA,0.0,4.2322002060938599,NA,NA,NA,NA,NA,NA,NA,NA,0,10.361593608022897,1.8083919931244525,NA,NA,NA,NA
8,1,MS,phloem,NA,NA,NA,55.877494491353389,NA,NA,NA,NA,NA,320.16282529188175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,MS,roots,0.15012436000000001,0.0045024870000000003,NA,24.461327587898602,1.4769140874249502,20.051739236850242,NA,NA,NA,58.247413301331171,10.740933497872653,42.994740833877906,4.5107152060483351,NA,0.5502305491339512,0.90555847838854597,NA,NA,0.67449557157216344,0.060510130859810579,2.1302845990946606,0.15985707840163144,0.0043680001146789828,0.064345150583122651,1.8510934317010161,5.7802920582367594e-06,NA,NA,NA,9.3729878197478342,53.704667489363267,2.2810037239006196,346.06754187361292
12,1,MS,grains,NA,NA,172800.00000000009,NA,NA,NA,129.38108293078483,0.0,2524.8551820530042,NA,NA,NA,NA,1.1016580981221367e-06,NA,NA,0.0,4.0900202152699787,NA,NA,NA,NA,NA,NA,NA,NA,0,10.013497768419601,1.7078122965443399,NA,NA,NA,NA
12,1,MS,phloem,NA,NA,NA,45.954327835705179,NA,NA,NA,NA,NA,269.44621499866884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,MS,roots,0.15031046300000001,0.0045062090000000006,NA,25.871677107419433,0.6177028740181012,28.226435223928181,NA,NA,NA,70.15328388562429,9.794675134993474,38.270635822516304,3.6121569572960266,NA,0.60263993850687425,0.95252690026609343,NA,NA,0.78954409970757067,0.24659046595095505,2.3447109384805387,0.68900856258793131,0.025057331330410437,0.10967014045682473,2.0248996592240029,4.1712598528573976e-05,NA,NA,NA,8.3524593618793936,48.973375674967365,2.3993120913503612,347.7437485359909
16,1,MS,grains,NA,NA,230400.00000000015,NA,NA,NA,135.14638588132644,0.0,2549.5429064945752,NA,NA,NA,NA,1.2116515542811429e-06,NA,NA,0.0,4.5423669871499754,NA,NA,NA,NA,NA,NA,NA,NA,0,11.120967451298213,1.1171191496237203,NA,NA,NA,NA
16,1,MS,phloem,NA,NA,NA,41.26667570456727,NA,NA,NA,NA,NA,410.81146759354306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,MS,roots,0.150537845,0.0045107569999999998,NA,21.949251242420463,0.037255218064032133,36.306864276084731,NA,NA,NA,82.02601791659562,12.045064665271065,34.094671658672347,3.2231255068124671,NA,0.64533118965402292,0.97366862360825068,NA,NA,0.89369782103587969,0.73124988554883341,2.5126976342981533,1.7334418455614757,0.095577805247486353,0.019614869240702638,2.1650691443045935,0.00021372946889661128,NA,NA,NA,6.0497310395686688,60.225323326355323,2.4525658025396742,344.14617981384902
20,1,MS,grains,NA,NA,288000.00000000017,NA,NA,NA,138.8892451387064,0.0,2576.9729375394168,NA,NA,NA,NA,1.2890990665043921e-06,NA,NA,0.0,4.8847045607738959,NA,NA,NA,NA,NA,NA,NA,NA,0,11.959104269480916,0.80962709845060943,NA,NA,NA,NA
20,1,MS,phloem,NA,NA,NA,40.605711852780956,NA,NA,NA,NA,NA,599.7921054189228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,MS,roots,0.15079676,0.0045159349999999996,NA,18.298959185923362,0.0045608054128657254,44.559328744652753,NA,NA,NA,99.001758518246859,13.977465685150477,30.285301912871734,2.5835205144166382,NA,0.69406367504485567,1.0170977093830487,NA,NA,1.0146682745132927,0.74254219026866952,2.7258296589411968,1.4674769172236724,0.1191138536266421,0.0024383451172741342,2.324567249446301,0.0014672068272300826,NA,NA,NA,4.7313472361139191,69.887328425752386,2.5619589657003741,340.86574490020905
24,1,MS,grains,NA,NA,345599.99999999977,NA,NA,NA,141.98662417219086,0.0,2605.525850528667,NA,NA,NA,NA,1.2900792594818167e-06,NA,NA,0.0,4.9425825262569392,NA,NA,NA,NA,NA,NA,NA,NA,0,12.100805495318712,0.76252726574346341,NA,NA,NA,NA
