t,plant,axis,organ,C_exudation,Conc_Amino_Acids,Conc_Nitrates,Conc_Sucrose,Conc_cytokinins,Dry_Mass,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,Nstruct_N_growth,Proteins_N_Mass,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_growth,R_maintenance,R_residual,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,amino_acids,cytokinins,mstruct,mstruct_C_growth,mstruct_death,nitrates,proteins,regul_transpiration,starch,structure,sucrose,total_organic_nitrogen
0,1,MS,grains,NA,NA,NA,NA,NA,0.084514706,NA,NA,NA,NA,NA,NA,NA,0.001498,7.88E-07,NA,NA,0,2.840328995,NA,NA,NA,NA,1.347267552,NA,0,6.953908918,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,0,2450,NA,NA
0,1,MS,phloem,NA,55.04273504,NA,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,831,NA
0,1,MS,roots,5.388652056,101.8210718,496.3777249,122.4398388,4.951268531,NA,0.018885083,0.002622928,0.005232637,56.2188824,0.436917734,0.009993176,0.656277,NA,NA,2.881930114,3.597476421,NA,NA,1.850986,5.395960596,3.779839187,2.88995134,NA,0.883795471,NA,NA,5.220054038,26.94326028,9.061653455,60,2.4937,0.503648708,14.700613,0.000635,250,NA,0.002914365,NA,NA,740,773.798269
1,1,MS,grains,NA,NA,NA,NA,NA,0.084767567,NA,NA,NA,NA,NA,NA,NA,0.001509917,1.17E-06,NA,NA,0,4.233860318,NA,NA,NA,NA,0.632817208,NA,0,10.36565802,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.8512374,NA,0,2455.507805,NA,NA
1,1,MS,phloem,NA,56.06638078,NA,89.54178224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.9941638,NA,NA,NA,NA,NA,NA,NA,NA,NA,2686.253467,NA
1,1,MS,roots,11.18785946,104.2621155,510.7793011,120.3058154,5.252645425,NA,0.019337831,0.002699028,0.00555114,54.39540559,0.945347608,0.009993176,0.656277,NA,NA,2.872615345,3.436212953,NA,NA,1.850986,5.395960596,3.751465862,2.880610646,NA,0.86242587,NA,NA,3.415060564,55.93929728,8.655448245,61.43843138,2.645488084,0.503648708,14.700613,0.000635,257.2533352,NA,0.002914365,NA,NA,727.1024221,775.2367004
2,1,MS,grains,NA,NA,NA,NA,NA,0.085015778,NA,NA,NA,NA,NA,NA,NA,0.001517791,1.24E-06,NA,NA,0,4.48361081,NA,NA,NA,NA,0.514267857,NA,0,10.97711612,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.4136673,NA,0,2461.85158,NA,NA
2,1,MS,phloem,NA,56.914219,NA,118.4470569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.4740906,NA,NA,NA,NA,NA,NA,NA,NA,NA,3553.411708,NA
2,1,MS,roots,12.67941065,105.7415892,524.8436832,119.2661528,5.498259838,NA,0.006449383,0.000912001,0.001910823,52.63295866,1.096054897,0.009986134,0.656277,NA,NA,2.866123745,3.303715908,NA,NA,1.850986,5.392080556,3.735568455,2.876169126,NA,0.853197129,NA,NA,2.970093998,63.39705326,8.321702539,62.26543433,2.76720024,0.503286553,14.700613,0.000635,264.1467681,NA,0.000959064,NA,NA,720.3006107,775.5607021
3,1,MS,grains,NA,NA,NA,NA,NA,0.085263473,NA,NA,NA,NA,NA,NA,NA,0.001524635,1.26E-06,NA,NA,0,4.590273031,NA,NA,NA,NA,0.469287377,NA,0,11.23825466,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.9024769,NA,0,2468.430799,NA,NA
3,1,MS,phloem,NA,57.53919948,NA,134.3471407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.3021585,NA,NA,NA,NA,NA,NA,NA,NA,NA,4030.414222,NA
