t,plant,axis,Total_transpiration
0.000000,1,MS,0.002923
1.000000,1,MS,0.002923
2.000000,1,MS,0.000960
3.000000,1,MS,0.000960
4.000000,1,MS,0.000942
5.000000,1,MS,0.000942
6.000000,1,MS,0.001027
7.000000,1,MS,0.001027
8.000000,1,MS,0.002981
9.000000,1,MS,0.002981
10.000000,1,MS,0.006533
11.000000,1,MS,0.006533
12.000000,1,MS,0.019478
13.000000,1,MS,0.019478
14.000000,1,MS,0.020372
15.000000,1,MS,0.020372
16.000000,1,MS,0.020422
17.000000,1,MS,0.020422
18.000000,1,MS,0.010453
19.000000,1,MS,0.010453
20.000000,1,MS,0.002509
21.000000,1,MS,0.002509
22.000000,1,MS,0.003472
23.000000,1,MS,0.003472
24.000000,1,MS,0.001722
25.000000,1,MS,0.001722
26.000000,1,MS,0.002678
27.000000,1,MS,0.002678
28.000000,1,MS,0.001170
29.000000,1,MS,0.001170
30.000000,1,MS,0.010448
31.000000,1,MS,0.010448
32.000000,1,MS,0.018927
33.000000,1,MS,0.018927
34.000000,1,MS,0.026473
35.000000,1,MS,0.026473
36.000000,1,MS,0.032054
37.000000,1,MS,0.032054
38.000000,1,MS,0.034226
39.000000,1,MS,0.034226
40.000000,1,MS,0.026530
41.000000,1,MS,0.026530
42.000000,1,MS,0.012950
43.000000,1,MS,0.012950
44.000000,1,MS,0.005337
45.000000,1,MS,0.005337
46.000000,1,MS,0.002801
47.000000,1,MS,0.002801
48.000000,1,MS,0.002952
49.000000,1,MS,0.002952
50.000000,1,MS,0.002712
51.000000,1,MS,0.002712
52.000000,1,MS,0.002470
53.000000,1,MS,0.002470
54.000000,1,MS,0.005298
55.000000,1,MS,0.005298
56.000000,1,MS,0.009182
57.000000,1,MS,0.009182
58.000000,1,MS,0.020260
59.000000,1,MS,0.020260
60.000000,1,MS,0.026579
61.000000,1,MS,0.026579
62.000000,1,MS,0.024461
63.000000,1,MS,0.024461
64.000000,1,MS,0.019588
65.000000,1,MS,0.019588
66.000000,1,MS,0.008851
67.000000,1,MS,0.008851
68.000000,1,MS,0.004851
69.000000,1,MS,0.004851
70.000000,1,MS,0.004017
71.000000,1,MS,0.004017
72.000000,1,MS,0.004483
73.000000,1,MS,0.004483
74.000000,1,MS,0.004388
75.000000,1,MS,0.004388
76.000000,1,MS,0.003055
77.000000,1,MS,0.003055
78.000000,1,MS,0.003869
79.000000,1,MS,0.003869
80.000000,1,MS,0.005897
81.000000,1,MS,0.005897
82.000000,1,MS,0.006854
83.000000,1,MS,0.006854
84.000000,1,MS,0.010760
85.000000,1,MS,0.010760
86.000000,1,MS,0.010621
87.000000,1,MS,0.010621
88.000000,1,MS,0.008337
89.000000,1,MS,0.008337
90.000000,1,MS,0.004122
91.000000,1,MS,0.004122
92.000000,1,MS,0.002813
93.000000,1,MS,0.002813
94.000000,1,MS,0.001743
95.000000,1,MS,0.001743
96.000000,1,MS,0.001390
97.000000,1,MS,0.001390
98.000000,1,MS,0.002108
99.000000,1,MS,0.002108
100.000000,1,MS,0.001903
101.000000,1,MS,0.001903
102.000000,1,MS,0.008365
103.000000,1,MS,0.008365
104.000000,1,MS,0.024250
105.000000,1,MS,0.024250
106.000000,1,MS,0.028771
107.000000,1,MS,0.028771
108.000000,1,MS,0.019298
109.000000,1,MS,0.019298
110.000000,1,MS,0.018623
111.000000,1,MS,0.018623
112.000000,1,MS,0.011089
113.000000,1,MS,0.011089
114.000000,1,MS,0.008559
115.000000,1,MS,0.008559
116.000000,1,MS,0.004281
117.000000,1,MS,0.004281
118.000000,1,MS,0.002395
119.000000,1,MS,0.002395
120.000000,1,MS,0.000942
121.000000,1,MS,0.000942
122.000000,1,MS,0.001693
123.000000,1,MS,0.001693
124.000000,1,MS,0.001046
125.000000,1,MS,0.001046
126.000000,1,MS,0.002401
127.000000,1,MS,0.002401
128.000000,1,MS,0.009777
129.000000,1,MS,0.009777
130.000000,1,MS,0.001816
131.000000,1,MS,0.001816
132.000000,1,MS,0.005693
133.000000,1,MS,0.005693
134.000000,1,MS,0.009051
135.000000,1,MS,0.009051
136.000000,1,MS,0.009333
137.000000,1,MS,0.009333
138.000000,1,MS,0.006452
139.000000,1,MS,0.006452
140.000000,1,MS,0.003583
141.000000,1,MS,0.003583
142.000000,1,MS,0.001991
143.000000,1,MS,0.001991
144.000000,1,MS,0.000627
145.000000,1,MS,0.000627
146.000000,1,MS,0.000475
147.000000,1,MS,0.000475
148.000000,1,MS,0.000417
149.000000,1,MS,0.000417
150.000000,1,MS,0.004825
151.000000,1,MS,0.004825
152.000000,1,MS,0.007679
153.000000,1,MS,0.007679
154.000000,1,MS,0.010037
155.000000,1,MS,0.010037
156.000000,1,MS,0.017500
157.000000,1,MS,0.017500
158.000000,1,MS,0.020821
159.000000,1,MS,0.020821
160.000000,1,MS,0.020080
161.000000,1,MS,0.020080
162.000000,1,MS,0.014021
163.000000,1,MS,0.014021
164.000000,1,MS,0.002841
165.000000,1,MS,0.002841
166.000000,1,MS,0.001354
167.000000,1,MS,0.001354
168.000000,1,MS,0.003718
169.000000,1,MS,0.003718
