t,plant,axis,organ,C_exudation,Conc_Amino_Acids,Conc_Nitrates,Conc_Sucrose,Conc_cytokinins,Dry_Mass,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,Nstruct_N_growth,Proteins_N_Mass,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_growth,R_maintenance,R_residual,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,amino_acids,cytokinins,mstruct,mstruct_C_growth,mstruct_death,nitrates,proteins,regul_transpiration,starch,structure,sucrose,total_organic_nitrogen
0,1,MS,grains,NA,NA,NA,NA,NA,0.084514706,NA,NA,NA,NA,NA,NA,NA,0.001498,7.88E-07,NA,NA,0,2.840328995,NA,NA,NA,NA,1.347267552,NA,0,6.953908918,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,0,2450,NA,NA
0,1,MS,phloem,NA,55.04273504,NA,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,831,NA
0,1,MS,roots,5.388652056,101.8210718,496.3777249,122.4398388,4.951268531,NA,0.018885083,0.002622928,0.005232637,39.02121684,0.436917734,0.009993176,0.656277,NA,NA,2.881930114,2.496988583,NA,NA,1.850986,5.395960596,3.779839187,2.88995134,NA,0.883795471,NA,NA,5.220054038,26.94326028,6.289643787,60,2.4937,0.503648708,14.700613,0.000635,250,NA,0.002914365,NA,NA,740,773.798269
1,1,MS,grains,NA,NA,NA,NA,NA,0.084767567,NA,NA,NA,NA,NA,NA,NA,0.001509917,1.17E-06,NA,NA,0,4.233860318,NA,NA,NA,NA,0.632817208,NA,0,10.36565802,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.8512374,NA,0,2455.507805,NA,NA
1,1,MS,phloem,NA,56.06638082,NA,89.54178224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.9941639,NA,NA,NA,NA,NA,NA,NA,NA,NA,2686.253467,NA
1,1,MS,roots,11.18785946,104.2629093,505.4550098,120.4816181,5.252701743,NA,0.019337978,0.002670894,0.0055512,38.01214926,0.943975375,0.009993176,0.656277,NA,NA,2.873256768,2.403843415,NA,NA,1.850986,5.395960596,3.754406385,2.881253853,NA,0.862657132,NA,NA,3.415060566,55.93929728,6.055021197,61.43889915,2.645516448,0.503648708,14.700613,0.000635,254.5717628,NA,0.002914365,NA,NA,728.1649361,775.2371682
2,1,MS,grains,NA,NA,NA,NA,NA,0.085015778,NA,NA,NA,NA,NA,NA,NA,0.001517791,1.24E-06,NA,NA,0,4.48361081,NA,NA,NA,NA,0.514267862,NA,0,10.97711612,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.4136673,NA,0,2461.85158,NA,NA
2,1,MS,phloem,NA,56.91421952,NA,118.4470569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.4740921,NA,NA,NA,NA,NA,NA,NA,NA,NA,3553.411708,NA
2,1,MS,roots,12.67941065,105.7448253,514.4926288,119.6069093,5.498830799,NA,0.006449596,0.000894016,0.001911026,37.00877665,1.092965716,0.009986158,0.656277,NA,NA,2.867408149,2.327886739,NA,NA,1.850986,5.392093497,3.741326521,2.877451126,NA,0.854106789,NA,NA,2.970094025,63.39705326,5.863694557,62.2674893,2.767494239,0.503287761,14.700613,0.000635,258.937843,NA,0.000959064,NA,NA,722.3603226,775.5644825
3,1,MS,grains,NA,NA,NA,NA,NA,0.085263473,NA,NA,NA,NA,NA,NA,NA,0.001524635,1.26E-06,NA,NA,0,4.590273018,NA,NA,NA,NA,0.469287389,NA,0,11.23825463,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.9024769,NA,0,2468.430798,NA,NA
3,1,MS,phloem,NA,57.53920007,NA,134.3471383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.3021602,NA,NA,NA,NA,NA,NA,NA,NA,NA,4030.414148,NA
