t,plant,axis,volume,Tsoil,nitrates,Conc_Nitrates_Soil
0.000000,1,MS,1.000000,15.000000,321428.571430,321428.571430
1.000000,1,MS,1.000000,15.000000,317800.991985,317800.991985
2.000000,1,MS,1.000000,15.000000,314320.721420,314320.721420
3.000000,1,MS,1.000000,15.000000,310968.698131,310968.698131
4.000000,1,MS,1.000000,15.000000,307728.332854,307728.332854
5.000000,1,MS,1.000000,15.000000,304592.878602,304592.878602
6.000000,1,MS,1.000000,15.000000,301550.922448,301550.922448
7.000000,1,MS,1.000000,15.000000,298598.931799,298598.931799
8.000000,1,MS,1.000000,15.000000,295727.762026,295727.762026
9.000000,1,MS,1.000000,15.000000,292934.866293,292934.866293
10.000000,1,MS,1.000000,15.000000,290211.875576,290211.875576
11.000000,1,MS,1.000000,15.000000,287557.027854,287557.027854
12.000000,1,MS,1.000000,15.000000,284962.648688,284962.648688
13.000000,1,MS,1.000000,15.000000,282426.813780,282426.813780
14.000000,1,MS,1.000000,15.000000,279941.588694,279941.588694
15.000000,1,MS,1.000000,15.000000,277506.754129,277506.754129
16.000000,1,MS,1.000000,15.000000,275116.095153,275116.095153
17.000000,1,MS,1.000000,15.000000,272769.726167,272769.726167
18.000000,1,MS,1.000000,15.000000,270462.009402,270462.009402
19.000000,1,MS,1.000000,15.000000,268194.509338,268194.509338
20.000000,1,MS,1.000000,15.000000,265963.146386,265963.146386
21.000000,1,MS,1.000000,15.000000,263770.526138,263770.526138
22.000000,1,MS,1.000000,15.000000,261613.633438,261613.633438
23.000000,1,MS,1.000000,15.000000,259493.562017,259493.562017
24.000000,1,MS,1.000000,15.000000,257405.891920,257405.891920
25.000000,1,MS,1.000000,15.000000,255352.683740,255352.683740
26.000000,1,MS,1.000000,15.000000,253330.484914,253330.484914
27.000000,1,MS,1.000000,15.000000,251340.690907,251340.690907
28.000000,1,MS,1.000000,15.000000,249379.299864,249379.299864
29.000000,1,MS,1.000000,15.000000,247448.504169,247448.504169
30.000000,1,MS,1.000000,15.000000,245545.138059,245545.138059
31.000000,1,MS,1.000000,15.000000,243669.108103,243669.108103
32.000000,1,MS,1.000000,15.000000,241815.103825,241815.103825
33.000000,1,MS,1.000000,15.000000,239984.077124,239984.077124
34.000000,1,MS,1.000000,15.000000,238171.717846,238171.717846
35.000000,1,MS,1.000000,15.000000,236379.182576,236379.182576
36.000000,1,MS,1.000000,15.000000,234602.449959,234602.449959
37.000000,1,MS,1.000000,15.000000,232842.792134,232842.792134
38.000000,1,MS,1.000000,15.000000,231096.456055,231096.456055
39.000000,1,MS,1.000000,15.000000,229364.940563,229364.940563
40.000000,1,MS,1.000000,15.000000,227644.857128,227644.857128
41.000000,1,MS,1.000000,15.000000,225938.266042,225938.266042
42.000000,1,MS,1.000000,15.000000,224242.414260,224242.414260
43.000000,1,MS,1.000000,15.000000,222560.161090,222560.161090
44.000000,1,MS,1.000000,15.000000,220889.610514,220889.610514
45.000000,1,MS,1.000000,15.000000,219233.866423,219233.866423
46.000000,1,MS,1.000000,15.000000,217591.314133,217591.314133
47.000000,1,MS,1.000000,15.000000,215964.567843,215964.567843
48.000000,1,MS,1.000000,15.000000,214351.583791,214351.583791
49.000000,1,MS,1.000000,15.000000,212754.370643,212754.370643
50.000000,1,MS,1.000000,15.000000,211170.366818,211170.366818
51.000000,1,MS,1.000000,15.000000,209601.659584,209601.659584
52.000000,1,MS,1.000000,15.000000,208045.837415,208045.837415
53.000000,1,MS,1.000000,15.000000,206504.960512,206504.960512
54.000000,1,MS,1.000000,15.000000,204976.666488,204976.666488
55.000000,1,MS,1.000000,15.000000,203671.566383,203671.566383
56.000000,1,MS,1.000000,15.000000,202166.680806,202166.680806
57.000000,1,MS,1.000000,15.000000,200674.134406,200674.134406
58.000000,1,MS,1.000000,15.000000,199190.974781,199190.974781
59.000000,1,MS,1.000000,15.000000,197718.090228,197718.090228
60.000000,1,MS,1.000000,15.000000,196252.126114,196252.126114
61.000000,1,MS,1.000000,15.000000,194794.537575,194794.537575
62.000000,1,MS,1.000000,15.000000,193342.586222,193342.586222
63.000000,1,MS,1.000000,15.000000,191898.091115,191898.091115
64.000000,1,MS,1.000000,15.000000,190458.782642,190458.782642
65.000000,1,MS,1.000000,15.000000,189026.682402,189026.682402
66.000000,1,MS,1.000000,15.000000,187599.804100,187599.804100
67.000000,1,MS,1.000000,15.000000,186180.936085,186180.936085
68.000000,1,MS,1.000000,15.000000,184768.903232,184768.903232
69.000000,1,MS,1.000000,15.000000,183366.170912,183366.170912
70.000000,1,MS,1.000000,15.000000,181971.295967,181971.295967
71.000000,1,MS,1.000000,15.000000,180586.274699,180586.274699
72.000000,1,MS,1.000000,15.000000,179209.254829,179209.254829
73.000000,1,MS,1.000000,15.000000,177841.958589,177841.958589
74.000000,1,MS,1.000000,15.000000,176482.323780,176482.323780
75.000000,1,MS,1.000000,15.000000,175132.162720,175132.162720
76.000000,1,MS,1.000000,15.000000,173789.559567,173789.559567
77.000000,1,MS,1.000000,15.000000,172456.554919,172456.554919
78.000000,1,MS,1.000000,15.000000,171131.512935,171131.512935
79.000000,1,MS,1.000000,15.000000,169815.985657,169815.985657
80.000000,1,MS,1.000000,15.000000,168507.919714,168507.919714
81.000000,1,MS,1.000000,15.000000,167208.641847,167208.641847
82.000000,1,MS,1.000000,15.000000,165915.922359,165915.922359
83.000000,1,MS,1.000000,15.000000,164631.260144,164631.260144
84.000000,1,MS,1.000000,15.000000,163352.643018,163352.643018
85.000000,1,MS,1.000000,15.000000,162081.179699,162081.179699
86.000000,1,MS,1.000000,15.000000,160814.530342,160814.530342
87.000000,1,MS,1.000000,15.000000,159554.282252,159554.282252
88.000000,1,MS,1.000000,15.000000,158298.619740,158298.619740
89.000000,1,MS,1.000000,15.000000,157049.367194,157049.367194
90.000000,1,MS,1.000000,15.000000,155805.006541,155805.006541
91.000000,1,MS,1.000000,15.000000,154567.760041,154567.760041
92.000000,1,MS,1.000000,15.000000,153336.547855,153336.547855
93.000000,1,MS,1.000000,15.000000,152113.186718,152113.186718
94.000000,1,MS,1.000000,15.000000,150896.245688,150896.245688
95.000000,1,MS,1.000000,15.000000,149687.508887,149687.508887
96.000000,1,MS,1.000000,15.000000,148485.556473,148485.556473
97.000000,1,MS,1.000000,15.000000,147291.988122,147291.988122
98.000000,1,MS,1.000000,15.000000,146105.251136,146105.251136
99.000000,1,MS,1.000000,15.000000,144926.660585,144926.660585
100.000000,1,MS,1.000000,15.000000,143754.434874,143754.434874
101.000000,1,MS,1.000000,15.000000,142590.096456,142590.096456
102.000000,1,MS,1.000000,15.000000,141432.110664,141432.110664
103.000000,1,MS,1.000000,15.000000,140280.835312,140280.835312
104.000000,1,MS,1.000000,15.000000,139133.632345,139133.632345
105.000000,1,MS,1.000000,15.000000,137990.776696,137990.776696
106.000000,1,MS,1.000000,15.000000,136849.556459,136849.556459
107.000000,1,MS,1.000000,15.000000,135711.169982,135711.169982
108.000000,1,MS,1.000000,15.000000,134573.846938,134573.846938
109.000000,1,MS,1.000000,15.000000,133439.334552,133439.334552
110.000000,1,MS,1.000000,15.000000,132306.484455,132306.484455
111.000000,1,MS,1.000000,15.000000,131176.691741,131176.691741
112.000000,1,MS,1.000000,15.000000,130048.488310,130048.488310
113.000000,1,MS,1.000000,15.000000,128923.793612,128923.793612
114.000000,1,MS,1.000000,15.000000,127801.701412,127801.701412
115.000000,1,MS,1.000000,15.000000,126683.855234,126683.855234
116.000000,1,MS,1.000000,15.000000,125569.114166,125569.114166
117.000000,1,MS,1.000000,15.000000,124459.466199,124459.466199
118.000000,1,MS,1.000000,15.000000,123354.133332,123354.133332
