t,plant,axis,phytomer,organ,element,PAR
0,1,MS,1,Internode,enclosed,0
0,1,MS,1,Internode,exposed,0
0,1,MS,1,Lamina,exposed,0
0,1,MS,1,Sheath,exposed,0
0,1,MS,2,Internode,enclosed,0
0,1,MS,2,Lamina,exposed,0
0,1,MS,2,Sheath,exposed,0
0,1,MS,3,Internode,enclosed,0
0,1,MS,3,Lamina,exposed,0
0,1,MS,3,Sheath,exposed,0
0,1,MS,4,Peduncle,enclosed,0
0,1,MS,4,Peduncle,exposed,0
0,1,MS,5,Chaff,exposed,0
1,1,MS,1,Internode,enclosed,0
1,1,MS,1,Internode,exposed,0
1,1,MS,1,Lamina,exposed,0
1,1,MS,1,Sheath,exposed,0
1,1,MS,2,Internode,enclosed,0
1,1,MS,2,Lamina,exposed,0
1,1,MS,2,Sheath,exposed,0
1,1,MS,3,Internode,enclosed,0
1,1,MS,3,Lamina,exposed,0
1,1,MS,3,Sheath,exposed,0
1,1,MS,4,Peduncle,enclosed,0
1,1,MS,4,Peduncle,exposed,0
1,1,MS,5,Chaff,exposed,0
2,1,MS,1,Internode,enclosed,0
2,1,MS,1,Internode,exposed,0
2,1,MS,1,Lamina,exposed,0
2,1,MS,1,Sheath,exposed,0
2,1,MS,2,Internode,enclosed,0
2,1,MS,2,Lamina,exposed,0
2,1,MS,2,Sheath,exposed,0
2,1,MS,3,Internode,enclosed,0
2,1,MS,3,Lamina,exposed,0
2,1,MS,3,Sheath,exposed,0
2,1,MS,4,Peduncle,enclosed,0
2,1,MS,4,Peduncle,exposed,0
2,1,MS,5,Chaff,exposed,0
3,1,MS,1,Internode,enclosed,0
3,1,MS,1,Internode,exposed,0
3,1,MS,1,Lamina,exposed,0
3,1,MS,1,Sheath,exposed,0
3,1,MS,2,Internode,enclosed,0
3,1,MS,2,Lamina,exposed,0
3,1,MS,2,Sheath,exposed,0
3,1,MS,3,Internode,enclosed,0
3,1,MS,3,Lamina,exposed,0
3,1,MS,3,Sheath,exposed,0
3,1,MS,4,Peduncle,enclosed,0
3,1,MS,4,Peduncle,exposed,0
3,1,MS,5,Chaff,exposed,0
4,1,MS,1,Internode,enclosed,0.30603
4,1,MS,1,Internode,exposed,3.0603
4,1,MS,1,Lamina,exposed,36.2489
4,1,MS,1,Sheath,exposed,9.217933333
4,1,MS,2,Internode,enclosed,0.764233333
4,1,MS,2,Lamina,exposed,8.800466667
4,1,MS,2,Sheath,exposed,1.703533333
4,1,MS,3,Internode,enclosed,0.2424
4,1,MS,3,Lamina,exposed,2.7472
4,1,MS,3,Sheath,exposed,0.659866667
4,1,MS,4,Peduncle,enclosed,1.851666667
4,1,MS,4,Peduncle,exposed,18.51666667
4,1,MS,5,Chaff,exposed,42.08333333
5,1,MS,1,Internode,enclosed,1.366934
5,1,MS,1,Internode,exposed,13.66934
5,1,MS,1,Lamina,exposed,161.9117533
5,1,MS,1,Sheath,exposed,41.17343556
5,1,MS,2,Internode,enclosed,3.413575556
5,1,MS,2,Lamina,exposed,39.30875111
5,1,MS,2,Sheath,exposed,7.609115556
5,1,MS,3,Internode,enclosed,1.08272
5,1,MS,3,Lamina,exposed,12.27082667
5,1,MS,3,Sheath,exposed,2.947404444
5,1,MS,4,Peduncle,enclosed,8.270777778
5,1,MS,4,Peduncle,exposed,82.70777778
5,1,MS,5,Chaff,exposed,187.9722222
6,1,MS,1,Internode,enclosed,2.591054
6,1,MS,1,Internode,exposed,25.91054
6,1,MS,1,Lamina,exposed,306.9073533
6,1,MS,1,Sheath,exposed,78.04516889
6,1,MS,2,Internode,enclosed,6.470508889
6,1,MS,2,Lamina,exposed,74.51061778
6,1,MS,2,Sheath,exposed,14.42324889
6,1,MS,3,Internode,enclosed,2.05232
6,1,MS,3,Lamina,exposed,23.25962667
6,1,MS,3,Sheath,exposed,5.586871111
6,1,MS,4,Peduncle,enclosed,15.67744444
6,1,MS,4,Peduncle,exposed,156.7744444
6,1,MS,5,Chaff,exposed,356.3055556
7,1,MS,1,Internode,enclosed,3.896782
7,1,MS,1,Internode,exposed,38.96782
7,1,MS,1,Lamina,exposed,461.5693267
7,1,MS,1,Sheath,exposed,117.3750178
7,1,MS,2,Internode,enclosed,9.731237778
7,1,MS,2,Lamina,exposed,112.0592756
7,1,MS,2,Sheath,exposed,21.69165778
7,1,MS,3,Internode,enclosed,3.08656
7,1,MS,3,Lamina,exposed,34.98101333
7,1,MS,3,Sheath,exposed,8.402302222
7,1,MS,4,Peduncle,enclosed,23.57788889
7,1,MS,4,Peduncle,exposed,235.7788889
7,1,MS,5,Chaff,exposed,535.8611111
8,1,MS,1,Internode,enclosed,4.835274
8,1,MS,1,Internode,exposed,48.35274
8,1,MS,1,Lamina,exposed,572.73262
8,1,MS,1,Sheath,exposed,145.6433467
8,1,MS,2,Internode,enclosed,12.07488667
8,1,MS,2,Lamina,exposed,139.0473733
8,1,MS,2,Sheath,exposed,26.91582667
8,1,MS,3,Internode,enclosed,3.82992
8,1,MS,3,Lamina,exposed,43.40576
8,1,MS,3,Sheath,exposed,10.42589333
8,1,MS,4,Peduncle,enclosed,29.25633333
8,1,MS,4,Peduncle,exposed,292.5633333
8,1,MS,5,Chaff,exposed,664.9166667
9,1,MS,1,Internode,enclosed,5.753364
