t,plant,axis,phytomer,organ,element,PAR
0,1,MS,1,Internode,enclosed,0
0,1,MS,1,Internode,exposed,0
0,1,MS,1,Lamina,exposed,0
0,1,MS,1,Sheath,exposed,0
0,1,MS,2,Internode,enclosed,0
0,1,MS,2,Lamina,exposed,0
0,1,MS,2,Sheath,exposed,0
0,1,MS,3,Internode,enclosed,0
0,1,MS,3,Lamina,exposed,0
0,1,MS,3,Sheath,exposed,0
0,1,MS,4,Peduncle,enclosed,0
0,1,MS,4,Peduncle,exposed,0
0,1,MS,5,Chaff,exposed,0
1,1,MS,1,Internode,enclosed,0
1,1,MS,1,Internode,exposed,0
1,1,MS,1,Lamina,exposed,0
1,1,MS,1,Sheath,exposed,0
1,1,MS,2,Internode,enclosed,0
1,1,MS,2,Lamina,exposed,0
1,1,MS,2,Sheath,exposed,0
1,1,MS,3,Internode,enclosed,0
1,1,MS,3,Lamina,exposed,0
1,1,MS,3,Sheath,exposed,0
1,1,MS,4,Peduncle,enclosed,0
1,1,MS,4,Peduncle,exposed,0
1,1,MS,5,Chaff,exposed,0
2,1,MS,1,Internode,enclosed,0
2,1,MS,1,Internode,exposed,0
2,1,MS,1,Lamina,exposed,0
2,1,MS,1,Sheath,exposed,0
2,1,MS,2,Internode,enclosed,0
2,1,MS,2,Lamina,exposed,0
2,1,MS,2,Sheath,exposed,0
2,1,MS,3,Internode,enclosed,0
2,1,MS,3,Lamina,exposed,0
2,1,MS,3,Sheath,exposed,0
2,1,MS,4,Peduncle,enclosed,0
2,1,MS,4,Peduncle,exposed,0
2,1,MS,5,Chaff,exposed,0
3,1,MS,1,Internode,enclosed,0
3,1,MS,1,Internode,exposed,0
3,1,MS,1,Lamina,exposed,0
3,1,MS,1,Sheath,exposed,0
3,1,MS,2,Internode,enclosed,0
3,1,MS,2,Lamina,exposed,0
3,1,MS,2,Sheath,exposed,0
3,1,MS,3,Internode,enclosed,0
3,1,MS,3,Lamina,exposed,0
3,1,MS,3,Sheath,exposed,0
3,1,MS,4,Peduncle,enclosed,0
3,1,MS,4,Peduncle,exposed,0
3,1,MS,5,Chaff,exposed,0
4,1,MS,1,Internode,enclosed,0
4,1,MS,1,Internode,exposed,0.20402
4,1,MS,1,Lamina,exposed,2.416593333
4,1,MS,1,Sheath,exposed,0.614528889
4,1,MS,2,Internode,enclosed,0
4,1,MS,2,Lamina,exposed,0.586697778
4,1,MS,2,Sheath,exposed,0.113568889
4,1,MS,3,Internode,enclosed,0
4,1,MS,3,Lamina,exposed,0.183146667
4,1,MS,3,Sheath,exposed,0.043991111
4,1,MS,4,Peduncle,enclosed,0.030726444
4,1,MS,4,Peduncle,exposed,1.234444444
4,1,MS,5,Chaff,exposed,2.805555556
5,1,MS,1,Internode,enclosed,0
5,1,MS,1,Internode,exposed,0.61206
5,1,MS,1,Lamina,exposed,7.24978
5,1,MS,1,Sheath,exposed,1.843586667
5,1,MS,2,Internode,enclosed,0
5,1,MS,2,Lamina,exposed,1.760093333
5,1,MS,2,Sheath,exposed,0.340706667
5,1,MS,3,Internode,enclosed,0
5,1,MS,3,Lamina,exposed,0.54944
5,1,MS,3,Sheath,exposed,0.131973333
5,1,MS,4,Peduncle,enclosed,0.092179333
5,1,MS,4,Peduncle,exposed,3.703333333
5,1,MS,5,Chaff,exposed,8.416666667
6,1,MS,1,Internode,enclosed,0
6,1,MS,1,Internode,exposed,1.0201
6,1,MS,1,Lamina,exposed,12.08296667
6,1,MS,1,Sheath,exposed,3.072644444
6,1,MS,2,Internode,enclosed,0
6,1,MS,2,Lamina,exposed,2.933488889
6,1,MS,2,Sheath,exposed,0.567844444
6,1,MS,3,Internode,enclosed,0
6,1,MS,3,Lamina,exposed,0.915733333
6,1,MS,3,Sheath,exposed,0.219955556
6,1,MS,4,Peduncle,enclosed,0.153632222
6,1,MS,4,Peduncle,exposed,6.172222222
6,1,MS,5,Chaff,exposed,14.02777778
7,1,MS,1,Internode,enclosed,0
7,1,MS,1,Internode,exposed,2.24422
7,1,MS,1,Lamina,exposed,26.58252667
7,1,MS,1,Sheath,exposed,6.759817778
7,1,MS,2,Internode,enclosed,0
7,1,MS,2,Lamina,exposed,6.453675556
7,1,MS,2,Sheath,exposed,1.249257778
7,1,MS,3,Internode,enclosed,0
7,1,MS,3,Lamina,exposed,2.014613333
7,1,MS,3,Sheath,exposed,0.483902222
7,1,MS,4,Peduncle,enclosed,0.337990889
7,1,MS,4,Peduncle,exposed,13.57888889
7,1,MS,5,Chaff,exposed,30.86111111
8,1,MS,1,Internode,enclosed,0
8,1,MS,1,Internode,exposed,3.26432
8,1,MS,1,Lamina,exposed,38.66549333
8,1,MS,1,Sheath,exposed,9.832462222
8,1,MS,2,Internode,enclosed,0
8,1,MS,2,Lamina,exposed,9.387164444
8,1,MS,2,Sheath,exposed,1.817102222
8,1,MS,3,Internode,enclosed,0
8,1,MS,3,Lamina,exposed,2.930346667
8,1,MS,3,Sheath,exposed,0.703857778
8,1,MS,4,Peduncle,enclosed,0.491623111
8,1,MS,4,Peduncle,exposed,19.75111111
8,1,MS,5,Chaff,exposed,44.88888889
9,1,MS,1,Internode,enclosed,0
9,1,MS,1,Internode,exposed,4.89648
9,1,MS,1,Lamina,exposed,57.99824
