t,plant,axis,metamer,Nstruct,mstruct,amino_acids,fructan,proteins,sucrose,D_Fructan,D_Proteins,S_Fructan,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose
0,1,MS,4,4.6399999999999996e-06,0.000144,0.016847999999999998,0.0,0.47899999999999998,0.17280000000000001,NA,NA,NA,NA,NA,NA
0,1,MS,5,9.9999999999999995e-08,3.1099999999999999e-06,0.00036400000000000001,0.0,0.002,0.0037320000000000001,NA,NA,NA,NA,NA,NA
0,1,MS,6,2.0599999999999999e-08,6.4000000000000001e-07,7.4999999999999993e-05,0.0,0.0,0.00076800000000000002,NA,NA,NA,NA,NA,NA
4,1,MS,4,4.6399999999999996e-06,0.000144,0.049410561877061748,0.0021805705601275834,0.47643039643401713,0.27233284978851663,0.0021805705601275834,22.034905835073292,14.819597972307374,4.1813929588989769,-0.0086025485219814561,-0.015006277388721994
4,1,MS,5,9.9999999999999995e-08,3.1099999999999999e-06,0.0010670921985583615,4.7101708800292828e-05,0.0019998975311697957,0.0058815781907776898,4.7101708800292828e-05,4.2827387644986619,14.819497634507627,4.1813587496128051,-0.00019008834031874111,-0.00048696852442788827
4,1,MS,6,2.0599999999999999e-08,6.4000000000000001e-07,0.0002195954195819707,9.6914469842290702e-06,2.7108583218446385e-06,0.0012103599289143773,9.6914469842290702e-06,0.02820986941169577,14.819524305233923,4.181362546301254,-8.4712244729745907e-05,-0.00023244589295100449
8,1,MS,4,4.6399999999999996e-06,0.000144,0.044940787320075469,0.0042593258414781567,0.4738608581846982,0.25734005521540815,0.0042593258414781567,21.91606469104229,14.218554644799909,4.089602826120692,-0.0068457194427271745,-0.014257242653391936
8,1,MS,5,9.9999999999999995e-08,3.1099999999999999e-06,0.00097064050721595754,9.1996032591318768e-05,0.0019994222528584584,0.0055580441614428815,9.1996032591318768e-05,4.281720965928403,14.218957588982006,4.0896481575414034,-0.0010776470833525349,-0.0037422137352044632
8,1,MS,6,2.0599999999999999e-08,6.4000000000000001e-07,0.00019977672673481488,1.8931017670954989e-05,5.3262338644926233e-06,0.0011438854646062516,1.8931017670954989e-05,0.055426121152376356,14.219945620582024,4.0898010136146503,-0.0010183297022378795,-0.0035578648447100068
12,1,MS,4,4.6399999999999996e-06,0.000144,0.042286405841923169,0.0062547888815333652,0.47129748180745817,0.24601605002252178,0.0062547888815333652,21.797508533594939,13.752221509059243,4.0282425416625793,-0.0083777870240859635,-0.032369444816315714
12,1,MS,5,9.9999999999999995e-08,3.1099999999999999e-06,0.00091352942047046048,0.00013511907325694893,0.0019987077832844071,0.0053151288173972199,0.00013511907325694893,4.2801909442682167,13.755819992835933,4.0285343806972156,-0.0038623052074344246,-0.025515109676144929
12,1,MS,6,2.0599999999999999e-08,6.4000000000000001e-07,0.0001881118495765212,2.7810656047138096e-05,7.8734541533997582e-06,0.0010945785888409681,2.7810656047138096e-05,0.08193313228381624,13.763223230096783,4.0291798636973502,-0.0038246571141881671,-0.02539489727958457
16,1,MS,4,4.6399999999999996e-06,0.000144,0.041421098710096811,0.0070638812454836769,0.47022613337423175,0.24297891782412853,0.0070638812454836769,21.747958668558216,13.625284333482407,4.0069783326221966,-0.019854651230364354,-0.33263813335675141
16,1,MS,5,9.9999999999999995e-08,3.1099999999999999e-06,0.00089573515832224414,0.0001526734240111229,0.0019983435797059587,0.0052725032214512449,0.0001526734240111229,4.2794110099169398,13.673436422622569,4.008311037912482,-0.015776419722559422,-0.33203406784292883
16,1,MS,6,2.0599999999999999e-08,6.4000000000000001e-07,0.00018482195067330218,3.144930412437836e-05,8.9203341604313873e-06,0.0010953718421085996,3.144930412437836e-05,0.092827227356989117,13.770654008112038,4.0110550171927351,-0.015746287165783822,-0.33202294088840839
20,1,MS,4,4.6399999999999996e-06,0.000144,0.040087295608747443,0.0090074441867141978,0.46767695997011061,0.24622264334621846,0.0090074441867141978,21.630059398617615,13.760827105695911,3.9728783355598152,-0.030930907141600593,-0.55177492024125319
20,1,MS,5,9.9999999999999995e-08,3.1099999999999999e-06,0.00086781044151443829,0.00019493926658840081,0.0019974158336545202,0.0053599668996751459,0.00019493926658840081,4.277424261137976,13.842117205214445,3.9753434641769503,-0.02750848903990467,-0.56369976401840505
20,1,MS,6,2.0599999999999999e-08,6.4000000000000001e-07,0.00017944182752367536,4.0254183288666557e-05,1.1398990775650748e-05,0.0011206066116358016,4.0254183288666557e-05,0.11862074775911559,14.005615985812435,3.9803589978127758,-0.027489574336578341,-0.56390825525543276
24,1,MS,4,4.6399999999999996e-06,0.000144,0.039050053216023936,0.0090061599976354011,0.46514031798932159,0.25070933615225943,0.0090061599976354011,21.512739707006123,0.00021787338837827533,3.9451838619182493,-0.01240238257241591,0.020737338757301379
24,1,MS,5,9.9999999999999995e-08,3.1099999999999999e-06,0.00084403241207361274,0.00019493866400364847,0.0019963865555269631,0.0054133201513660448,0.00019493866400364847,4.2752200835400567,3.5278424564257942e-09,3.9460148282895382,-0.0090974225655710804,0.017702134279531885
24,1,MS,6,2.0599999999999999e-08,6.4000000000000001e-07,0.00017397447499972382,4.0254157778372728e-05,1.3835521809236801e-05,0.0011134456107465473,4.0254157778372728e-05,0.14397589882737047,3.1014525850967729e-11,3.9477434081936682,-0.0090803543417041326,0.017648463717703476
28,1,MS,4,4.6399999999999996e-06,0.000144,0.038097423493287666,0.0090049049187013834,0.4626166028848781,0.25085139302289733,0.0090049049187013834,21.396017883425614,0.00089359064947978418,3.9187844502513078,-0.012426696217664913,0.012956728412588948
28,1,MS,5,9.9999999999999995e-08,3.1099999999999999e-06,0.0008234662569493377,0.00019493805775540514,0.0019952732860812079,0.0054167290754114005,0.00019493805775540514,4.2728360402896612,9.1311229170656843e-09,3.9196562791422034,-0.009197969421465715,0.012895006249202264
28,1,MS,6,2.0599999999999999e-08,6.4000000000000001e-07,0.00016974539883310658,4.0254132015738237e-05,1.623576261963996e-05,0.0011142945520308957,4.0254132015738237e-05,0.16895340476062834,7.9581522062080304e-11,3.9214682225819675,-0.0091819740591754778,0.01289356614346791
32,1,MS,4,4.6399999999999996e-06,0.000144,0.037194393206186935,0.010960544453130302,0.46010583719417519,0.2498064245249004,0.010960544453130302,21.279894970230604,13.909525224018834,3.892859491742692,-0.01600783325383465,-0.21134940811316216
32,1,MS,5,9.9999999999999995e-08,3.1099999999999999e-06,0.00080423662019193031,0.00023730455959161643,0.00199408018934647,0.0054111072444817838,0.00023730455959161643,4.2702810485683251,13.940093325887675,3.89413122776494,-0.012846031927268067,-0.21347894030585954
32,1,MS,6,2.0599999999999999e-08,6.4000000000000001e-07,0.00016590199564122754,4.9011180445908299e-05,1.8601099556270549e-05,0.0011201996323400019,4.9011180445908299e-05,0.19356769225744039,14.001848362177594,3.8967507609663192,-0.012830947304478488,-0.21351645827361548
