t,plant,axis,organ,mstruct,Nstruct,age_from_flowering,amino_acids,cytokinins,nitrates,proteins,starch,structure,sucrose,C_exudation,HATS_LATS,N_exudation,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_residual,regul_transpiration,sum_respi,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,S_Amino_Acids,S_cytokinins,S_grain_starch,S_grain_structure,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,Total_Organic_Nitrogen
0,1,MS,phloem,NA,NA,NA,100,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,MS,roots,0.150009736,0.0045001950000000002,NA,20,2.233310479,7.5,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.44250000000005
4,1,MS,phloem,NA,NA,NA,84.460872400470208,NA,NA,NA,NA,NA,465.53409569971001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,MS,roots,0.150009736,0.0045001950000000002,NA,20.014443035647737,1.9950709707066947,8.4930724773549429,NA,NA,NA,27.003399518418931,14.129032428310616,50.655288468046884,10.472189417941838,NA,0.3448878762113593,0.51962270892165019,NA,NA,0.34674772992715208,0.15667413949039791,1.2112583150601615,0.33866052911888722,0.0047903213592690036,0.22505473984157587,1.1611632732047676,1.8175618805665172e-09,NA,NA,NA,12.817003266710374,70.645162141553072,1.3088733222207813,341.45694303564778
8,1,MS,phloem,NA,NA,NA,76.890040461052379,NA,NA,NA,NA,NA,440.31222808982659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,MS,roots,0.15012436000000001,0.0045024870000000003,NA,20.524169042025481,1.6831374791328662,9.7501091516893457,NA,NA,NA,33.479355277244274,13.851397628032281,49.804400983635766,8.4914546302292315,NA,0.39808034505295664,0.6264886423482442,NA,NA,0.42003773361235447,0.060510130859810579,1.4446067210135551,0.13412737668835817,0.0021239293703981727,0.073329745764514634,1.3392275532077209,1.6552461887071963e-08,NA,NA,NA,12.094082972461225,69.256988140161397,1.5780570336227813,342.13038332773982
12,1,MS,phloem,NA,NA,NA,72.481893214602124,NA,NA,NA,NA,NA,421.71642971325383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,MS,roots,0.15031046300000001,0.0045062090000000006,NA,20.80343753293138,1.0522084301888923,11.224451675431759,NA,NA,NA,39.520720939307033,13.629710896509287,48.843676449813799,7.1745867101688781,NA,0.44185278369604425,0.71759239046742229,NA,NA,0.48609424335050744,0.24659046595095505,1.6455394175139739,0.55403237029973063,0.0099642339672793012,0.18681448829601738,1.4846469574354162,9.1763684540292954e-08,NA,NA,NA,11.712932911084502,68.14855448254643,1.8075375074746152,342.67550896150283
16,1,MS,phloem,NA,NA,NA,70.855796678460123,NA,NA,NA,NA,NA,416.7667548400708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,MS,roots,0.150537845,0.0045107569999999998,NA,20.44031077727676,0.23277411886400767,12.084330571971195,NA,NA,NA,42.612745759881442,13.562627529968484,48.336620097319127,6.5056667136902329,NA,0.4625099024789579,0.76095099611808847,NA,NA,0.51885016764027492,0.73124988554883341,1.7423110662373213,1.6142732909783515,0.031811995251677543,0.12255555440018602,1.551708541050641,1.9850189451450539e-07,NA,NA,NA,11.529119915741616,67.813137649842417,1.9167531388364947,342.63723934870529
20,1,MS,phloem,NA,NA,NA,68.832110383393513,NA,NA,NA,NA,NA,425.70817483723607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,MS,roots,0.15079676,0.0045159349999999996,NA,19.861657797589526,0.021402758644122933,13.817533445734377,NA,NA,NA,48.220427227273014,13.660540820656871,47.258680654981518,5.6266815271274293,NA,0.49691406940562377,0.83330055556983895,NA,NA,0.5753212514984446,0.74254219026866952,1.9055358764739072,1.5927968394060039,0.036936365576062315,0.011442564922607095,1.6642711800970524,7.1304769954274019e-07,NA,NA,NA,11.043760834799706,68.302704103284356,2.0989938427451862,342.42844351187523
24,1,MS,phloem,NA,NA,NA,67.356585808160091,NA,NA,NA,NA,NA,437.41165963782748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,MS,roots,0.15109033599999999,0.0045218070000000001,NA,20.625551849920544,0.0077740377675792208,15.732188735908343,NA,NA,NA,53.724752183209169,13.785801789079265,46.100023303983129,5.2925282674872483,NA,0.52754529263841754,0.8964676200683529,NA,NA,0.62814669625478403,0.13870163395378929,2.0521596089615546,0.30896615622051871,0.0078554890200235889,0.00077635565336282842,1.7634285788076431,2.1792519747522391e-06,NA,NA,NA,10.614309434609568,68.929008945396319,2.2581048364442138,343.61176613563481
28,1,MS,phloem,NA,NA,NA,66.007225099098264,NA,NA,NA,NA,NA,440.40385255052411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,MS,roots,0.15141278699999999,0.0045282559999999996,NA,21.477998387795427,0.0059233956436508684,17.781715781922472,NA,NA,NA,59.099647665450128,13.808151061279606,44.895758413091208,5.0181592944753852,NA,0.5548523952056672,0.95076480200849278,NA,NA,0.68031269830110497,0.099525154894868822,2.1859298955152653,0.23086092056872495,0.0063710208629725222,0.0004244593456353196,1.8507583671061061,5.8234603274882586e-06,NA,NA,NA,10.347749344445997,69.040755306398026,2.3948735566964552,344.92485553065251
32,1,MS,phloem,NA,NA,NA,65.241096010503668,NA,NA,NA,NA,NA,440.34130144537892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,MS,roots,0.15174368400000002,0.0045348740000000004,NA,21.956165183842835,0.0054884549708286677,19.005972002233239,NA,NA,NA,62.107843398372978,13.794995741588886,44.243358143853627,4.876762557507651,NA,0.56940900643247538,0.97826511571456931,NA,NA,0.70959488207390364,0.10989026678449193,2.2572690042209484,0.26057903575862107,0.0075188568017663816,0.00043425200230490387,1.8951715069671562,9.6116728005591089e-06,NA,NA,NA,10.21935301875298,68.97497870794443,2.4641438682986632,345.87573661241424
36,1,MS,phloem,NA,NA,NA,64.316669119630362,NA,NA,NA,NA,NA,456.37616054728443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,MS,roots,0.152066438,0.0045413290000000002,NA,21.352123124241977,0.0014177397701220025,21.178882670715641,NA,NA,NA,67.29088879320247,13.959383411283975,43.015663535608802,4.4294625718533505,NA,0.59246652113905285,1.0206171945785969,NA,NA,0.75717134385073881,0.7359654149236099,2.3702550595683887,1.6971578087003374,0.056112930620538071,0.00075125335548351091,1.9677288405137392,2.1883667346245644e-05,NA,NA,NA,9.8364147998105889,69.796917056419872,2.570824167704274,345.73276598138489
40,1,MS,phloem,NA,NA,NA,63.864416501137008,NA,NA,NA,NA,NA,499.02534397789401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,MS,roots,0.15240585100000001,0.004548117,NA,20.612873424288455,0.0002907158524376086,23.428749021234317,NA,NA,NA,72.535280693476651,14.381076731983223,41.783928396993609,4.0867742090092927,NA,0.61401275046141301,1.0583148964970508,NA,NA,0.80140421096261383,0.81588984347980142,2.4737318579210776,1.8163260797556602,0.068815002138704701,0.00017077832016654064,2.0347476667938844,4.7097232101269736e-05,NA,NA,NA,9.2023289521230414,71.905383659916112,2.665780595710455,345.47837342428846
44,1,MS,phloem,NA,NA,NA,63.706675074306155,NA,NA,NA,NA,NA,549.05934058493881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1,MS,roots,0.15277434400000001,0.0045554870000000004,NA,19.967628943875962,0.00054826811188154209,25.755208032816796,NA,NA,NA,77.942203921311531,14.818505666495932,40.555605820344816,3.7962799069684707,NA,0.6345871380014938,1.0927508749325816,NA,NA,0.84505244729383866,0.78303925722950474,2.572390460227914,1.6886272323794753,0.072602420284109639,0.00030910712766504892,2.0978558713118018,9.7678732391854624e-05,NA,NA,NA,8.5968642713235059,74.09252833247966,2.7525210955480643,345.35955751530457
48,1,MS,phloem,NA,NA,NA,63.401841680837585,NA,NA,NA,NA,NA,576.57303078772816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1,MS,roots,0.15317045199999998,0.004563409,NA,20.445529528928834,0.0031951192092708669,28.197318560707579,NA,NA,NA,83.45093035197408,15.028815474619718,39.311062756857247,3.68206908269527,NA,0.65409516680876101,1.1225240802866345,NA,NA,0.8881182775907589,0.2571665337950127,2.6647375246861542,0.56785384374028636,0.0261050640356554,0.00059160796711923644,2.1567547136823695,0.00019456180784548343,NA,NA,NA,8.2630866212260052,75.144077373098582,2.8275165750293061,346.40331524321454
