t,plant,axis,phytomer,organ,element,exposed,An,Tr,Ts,gs
0,1,MS,1,Internode,1,False,-0.583026,0.000005,14.288647,0.05
0,1,MS,1,Internode,2,True,-0.586644,0.000005,14.370849,0.05
0,1,MS,1,Lamina,1,True,-0.598313,0.000005,14.467316,0.05
0,1,MS,1,Sheath,1,True,-0.589802,0.000005,14.608839,0.05
0,1,MS,2,Internode,1,True,-0.57766,0.000005,14.458397,0.05
0,1,MS,2,Lamina,1,True,-0.595627,0.000005,14.36289,0.05
0,1,MS,2,Sheath,1,True,-0.582734,0.000005,14.546,0.05
0,1,MS,3,Internode,1,True,-0.573972,0.000005,14.405605,0.05
0,1,MS,3,Lamina,1,True,-0.593251,0.000005,14.270216,0.05
0,1,MS,3,Sheath,1,True,-0.578701,0.000005,14.589742,0.05
0,1,MS,4,Peduncle,1,False,-0.595955,0.000005,14.468201,0.05
0,1,MS,4,Peduncle,2,True,-0.59248,0.000005,14.362802,0.05
0,1,MS,5,Chaff,1,True,-0.59941,0.000005,14.553406,0.05
1,1,MS,1,Internode,1,False,-0.583026,0.000005,14.288647,0.05
1,1,MS,1,Internode,2,True,-0.586644,0.000005,14.370849,0.05
1,1,MS,1,Lamina,1,True,-0.598313,0.000005,14.467316,0.05
1,1,MS,1,Sheath,1,True,-0.589802,0.000005,14.608839,0.05
1,1,MS,2,Internode,1,True,-0.57766,0.000005,14.458397,0.05
1,1,MS,2,Lamina,1,True,-0.595627,0.000005,14.36289,0.05
1,1,MS,2,Sheath,1,True,-0.582734,0.000005,14.546,0.05
1,1,MS,3,Internode,1,True,-0.573972,0.000005,14.405605,0.05
1,1,MS,3,Lamina,1,True,-0.593251,0.000005,14.270216,0.05
1,1,MS,3,Sheath,1,True,-0.578701,0.000005,14.589742,0.05
1,1,MS,4,Peduncle,1,False,-0.595955,0.000005,14.468201,0.05
1,1,MS,4,Peduncle,2,True,-0.59248,0.000005,14.362802,0.05
1,1,MS,5,Chaff,1,True,-0.59941,0.000005,14.553406,0.05
2,1,MS,1,Internode,1,False,-0.583026,0.000005,14.288647,0.05
2,1,MS,1,Internode,2,True,-0.586644,0.000005,14.370849,0.05
2,1,MS,1,Lamina,1,True,-0.598313,0.000005,14.467316,0.05
2,1,MS,1,Sheath,1,True,-0.589802,0.000005,14.608839,0.05
2,1,MS,2,Internode,1,True,-0.57766,0.000005,14.458397,0.05
2,1,MS,2,Lamina,1,True,-0.595627,0.000005,14.36289,0.05
2,1,MS,2,Sheath,1,True,-0.582734,0.000005,14.546,0.05
2,1,MS,3,Internode,1,True,-0.573972,0.000005,14.405605,0.05
2,1,MS,3,Lamina,1,True,-0.593251,0.000005,14.270216,0.05
2,1,MS,3,Sheath,1,True,-0.578701,0.000005,14.589742,0.05
2,1,MS,4,Peduncle,1,False,-0.595955,0.000005,14.468201,0.05
2,1,MS,4,Peduncle,2,True,-0.59248,0.000005,14.362802,0.05
2,1,MS,5,Chaff,1,True,-0.59941,0.000005,14.553406,0.05
3,1,MS,1,Internode,1,False,-0.435644,0.000001,10.132857,0.05
3,1,MS,1,Internode,2,True,-0.442436,0.000002,10.24063,0.05
3,1,MS,1,Lamina,1,True,-0.45442,0.000002,10.33775,0.05
3,1,MS,1,Sheath,1,True,-0.445677,0.000002,10.552217,0.05
3,1,MS,2,Internode,1,True,-0.429628,0.000001,10.355318,0.05
3,1,MS,2,Lamina,1,True,-0.451658,0.000002,10.194253,0.05
