t,plant,axis,mstruct_C_growth,Nstruct_N_growth,mstruct_death,mstruct,Nstruct,cytokinins
0,1,MS,14.700613,0.656277,0.000635,0.503649,0.009993,2.493700
1,1,MS,14.700613,0.656277,0.000635,0.503649,0.009993,2.645488
2,1,MS,14.700613,0.656277,0.000635,0.503649,0.009993,2.774190
3,1,MS,14.512551,0.647882,0.000635,0.503287,0.009986,3.075215
4,1,MS,14.512551,0.647882,0.000635,0.503287,0.009986,3.368369
5,1,MS,14.432853,0.644324,0.000634,0.502920,0.009979,3.642738
6,1,MS,14.432853,0.644324,0.000634,0.502920,0.009979,3.913182
7,1,MS,14.380400,0.641982,0.000634,0.502552,0.009972,4.149392
8,1,MS,14.380400,0.641982,0.000634,0.502552,0.009972,4.384154
9,1,MS,14.339759,0.640168,0.000633,0.502182,0.009965,4.300424
10,1,MS,14.339759,0.640168,0.000633,0.502182,0.009965,4.234953
11,1,MS,14.305367,0.638632,0.000633,0.501810,0.009957,3.802840
12,1,MS,14.305367,0.638632,0.000633,0.501810,0.009957,3.460752
13,1,MS,14.275340,0.637292,0.000632,0.501438,0.009950,2.667151
14,1,MS,14.275340,0.637292,0.000632,0.501438,0.009950,2.139239
15,1,MS,14.251697,0.636236,0.000632,0.501065,0.009943,1.768312
16,1,MS,14.251697,0.636236,0.000632,0.501065,0.009943,1.525035
17,1,MS,14.240425,0.635733,0.000631,0.500692,0.009936,1.360898
18,1,MS,14.240425,0.635733,0.000631,0.500692,0.009936,1.255337
19,1,MS,14.242211,0.635813,0.000631,0.500321,0.009928,1.310713
20,1,MS,14.242211,0.635813,0.000631,0.500321,0.009928,1.356654
21,1,MS,14.253825,0.636331,0.000630,0.499951,0.009921,1.636999
22,1,MS,14.253825,0.636331,0.000630,0.499951,0.009921,1.896566
23,1,MS,14.269648,0.637038,0.000630,0.499583,0.009914,2.071449
24,1,MS,14.269648,0.637038,0.000630,0.499583,0.009914,2.231594
25,1,MS,14.285752,0.637757,0.000629,0.499217,0.009907,2.501021
26,1,MS,14.285752,0.637757,0.000629,0.499217,0.009907,2.759521
27,1,MS,14.300521,0.638416,0.000629,0.498852,0.009900,2.904328
28,1,MS,14.300521,0.638416,0.000629,0.498852,0.009900,3.043032
29,1,MS,14.313324,0.638988,0.000629,0.498490,0.009893,3.329189
30,1,MS,14.313324,0.638988,0.000629,0.498490,0.009893,3.610604
31,1,MS,14.323957,0.639462,0.000628,0.498129,0.009886,3.098365
32,1,MS,14.323957,0.639462,0.000628,0.498129,0.009886,2.722438
33,1,MS,14.333467,0.639887,0.000628,0.497769,0.009879,2.212750
34,1,MS,14.333467,0.639887,0.000628,0.497769,0.009879,1.875027
35,1,MS,14.345988,0.640446,0.000627,0.497412,0.009872,1.563941
36,1,MS,14.345988,0.640446,0.000627,0.497412,0.009872,1.370881
37,1,MS,14.366703,0.641371,0.000627,0.497056,0.009865,1.215901
38,1,MS,14.366703,0.641371,0.000627,0.497056,0.009865,1.124835
39,1,MS,14.398344,0.642783,0.000626,0.496703,0.009858,1.060837
40,1,MS,14.398344,0.642783,0.000626,0.496703,0.009858,1.026282
41,1,MS,14.440053,0.644645,0.000626,0.496354,0.009851,1.040251
42,1,MS,14.440053,0.644645,0.000626,0.496354,0.009851,1.053809
43,1,MS,14.488655,0.646815,0.000625,0.496009,0.009844,1.178399
44,1,MS,14.488655,0.646815,0.000625,0.496009,0.009844,1.273460
45,1,MS,14.540328,0.649122,0.000625,0.495668,0.009838,1.514050
46,1,MS,14.540328,0.649122,0.000625,0.495668,0.009838,1.720283
47,1,MS,14.591281,0.651396,0.000625,0.495331,0.009831,2.018092
48,1,MS,14.591281,0.651396,0.000625,0.495331,0.009831,2.291986
